entry_time,base_exit_time,exit_time,direction,entry_reference,entry_price,exit_price,shares,stop_pct,rr,stop_price,target_price,exit_reason,gross_pnl,slippage,commissions,costs,net_pnl,duration_bars
2024-08-22 11:39:00-04:00,2024-08-22 12:23:00-04:00,2024-08-22 11:43:00-04:00,LONG,126.525,126.55030500000001,125.23469805000002,158,0.01,0.5,125.25975000000001,127.15762500000001,STOP,-199.90949999999916,7.956398099999063,1.106,9.062398099999063,-208.9718980999982,4
2024-08-22 13:02:00-04:00,2024-08-22 13:35:00-04:00,2024-08-22 13:32:00-04:00,SHORT,125.8599,125.83472802,125.2556466201,158,0.01,0.5,127.118499,125.2306005,TAKE_PROFIT_BRACKET,99.4293210000003,7.934459815799499,1.106,9.0404598157995,90.3888611842008,30
2024-08-22 13:55:00-04:00,2024-08-22 14:30:00-04:00,2024-08-22 13:56:00-04:00,LONG,123.86,123.884772,124.45440414,161,0.01,0.5,122.6214,124.4793,TAKE_PROFIT_BRACKET,99.70729999999928,7.99652545999993,1.127,9.12352545999993,90.58377453999935,1
2024-08-22 15:19:00-04:00,2024-08-22 15:47:00-04:00,2024-08-22 15:59:00-04:00,LONG,124.04,124.064808,123.805234,161,0.01,0.5,122.79960000000001,124.6602,FORCED_EOD,-33.81000000000128,7.981413999998821,1.127,9.108413999998822,-42.918414000000105,40
2024-08-23 12:14:00-04:00,2024-08-23 12:34:00-04:00,2024-08-23 13:25:00-04:00,LONG,127.49,127.515498,128.10182450999997,156,0.01,0.5,126.21509999999999,128.12744999999998,TAKE_PROFIT_BRACKET,99.44219999999797,7.9752644400014105,1.092,9.067264440001411,90.37493555999656,71
2024-08-23 14:03:00-04:00,2024-08-23 14:55:00-04:00,2024-08-23 15:59:00-04:00,SHORT,128.3916,128.36592168,129.305856,155,0.01,0.5,129.67551600000002,127.74964200000001,FORCED_EOD,-137.70199999999846,7.987819600000279,1.085,9.07281960000028,-146.77481959999875,116
2024-08-26 13:02:00-04:00,2024-08-26 13:44:00-04:00,2024-08-26 15:59:00-04:00,LONG,126.55,126.57530999999999,126.434708,158,0.01,0.5,125.2845,127.18275,FORCED_EOD,-14.220000000000539,7.9951159999974095,1.106,9.10111599999741,-23.32111599999795,177
2024-08-27 12:21:00-04:00,2024-08-27 12:33:00-04:00,2024-08-27 12:35:00-04:00,LONG,127.765,127.790553,128.378144235,156,0.01,0.5,126.48735,128.403825,TAKE_PROFIT_BRACKET,99.65670000000176,7.992467340000985,1.092,9.084467340000986,90.57223266000078,14
2024-08-27 14:13:00-04:00,2024-08-27 14:46:00-04:00,2024-08-27 15:59:00-04:00,LONG,128.585,128.610717,128.314332,155,0.01,0.5,127.29915000000001,129.227925,FORCED_EOD,-37.975000000000705,7.964674999997214,1.085,9.049674999997215,-47.02467499999792,106
2024-08-28 11:00:00-04:00,2024-08-28 11:31:00-04:00,2024-08-28 11:12:00-04:00,LONG,125.11,125.13502199999999,123.83412822000001,159,0.01,0.5,123.8589,125.73555,STOP,-198.924899999999,7.917211019998007,1.113,9.030211019998006,-207.95511101999702,12
2024-08-28 13:54:00-04:00,2024-08-28 14:03:00-04:00,2024-08-28 14:51:00-04:00,LONG,124.5896,124.61451792,125.1875054904,160,0.01,0.5,123.343704,125.212548,TAKE_PROFIT_BRACKET,99.67167999999901,7.993668735998654,1.12,9.113668735998655,90.55801126400036,57
2024-08-28 15:55:00-04:00,2024-08-28 15:56:00-04:00,2024-08-28 15:58:00-04:00,SHORT,126.66,126.634668,126.05190533999999,157,0.01,0.5,127.9266,126.02669999999999,TAKE_PROFIT_BRACKET,99.42810000000087,7.934362379998603,1.099,9.033362379998604,90.39473762000226,3
2024-08-29 12:53:00-04:00,2024-08-29 13:07:00-04:00,2024-08-29 13:06:00-04:00,LONG,120.4,120.42408,120.97779960000001,166,0.01,0.5,119.19600000000001,121.00200000000001,TAKE_PROFIT_BRACKET,99.93200000000064,8.014546399999318,1.162,9.176546399999317,90.75545360000132,13
2024-08-29 14:08:00-04:00,2024-08-29 14:15:00-04:00,2024-08-29 14:30:00-04:00,LONG,120.105,120.129021,118.88016921,166,0.01,0.5,118.90395000000001,120.70552500000001,STOP,-199.37429999999918,7.935097139999016,1.162,9.097097139999015,-208.4713971399982,22
2024-08-29 14:35:00-04:00,2024-08-29 15:01:00-04:00,2024-08-29 14:43:00-04:00,LONG,118.5406,118.56430811999999,117.3317229612,168,0.01,0.5,117.355194,119.133303,STOP,-199.14820800000007,7.926098678398603,1.176,9.102098678398603,-208.25030667839866,8
2024-08-30 14:01:00-04:00,2024-08-30 14:12:00-04:00,2024-08-30 15:55:00-04:00,SHORT,118.12,118.096376,119.32506024,169,0.01,0.5,119.30120000000001,117.52940000000001,STOP,-199.62280000000067,8.024836559998079,1.183,9.207836559998078,-208.83063655999874,114
2024-09-03 10:44:00-04:00,2024-09-03 10:55:00-04:00,2024-09-03 11:00:00-04:00,LONG,110.63,110.652126,109.50179526,180,0.01,0.5,109.52369999999999,111.18315,STOP,-199.1340000000008,7.925533199999393,1.26,9.185533199999393,-208.3195332000002,16
2024-09-03 11:12:00-04:00,2024-09-03 11:58:00-04:00,2024-09-03 11:31:00-04:00,SHORT,111.2698,111.24754604,110.7355936902,179,0.01,0.5,112.382498,110.713451,TAKE_PROFIT_BRACKET,99.58647099999952,7.94700038579991,1.2530000000000001,9.20000038579991,90.38647061419961,19
2024-09-03 12:09:00-04:00,2024-09-03 12:42:00-04:00,2024-09-03 12:49:00-04:00,LONG,110.09,110.112018,110.61832191,181,0.01,0.5,108.98910000000001,110.64045,TAKE_PROFIT_BRACKET,99.63144999999962,7.990442289999663,1.2670000000000001,9.257442289999663,90.37400770999996,40
2024-09-03 14:03:00-04:00,2024-09-03 14:56:00-04:00,2024-09-03 14:27:00-04:00,LONG,109.14,109.161828,108.02699028,183,0.01,0.5,108.04860000000001,109.6857,STOP,-199.72619999999873,7.949102760000002,1.281,9.230102760000003,-208.95630275999872,24
2024-09-03 15:03:00-04:00,2024-09-03 15:23:00-04:00,2024-09-03 15:16:00-04:00,SHORT,109.1599,109.13806801999999,108.63582332009999,183,0.01,0.5,110.251499,108.61410049999999,TAKE_PROFIT_BRACKET,99.8813085000002,7.970528418299494,1.281,9.251528418299495,90.6297800817007,13
2024-09-04 14:08:00-04:00,2024-09-04 15:52:00-04:00,2024-09-04 14:35:00-04:00,LONG,108.3813,108.40297625999999,107.27602750259999,184,0.01,0.5,107.29748699999999,108.92320649999999,STOP,-199.42159200000117,7.936979361599015,1.288,9.224979361599015,-208.6465713616002,27
2024-09-05 11:44:00-04:00,2024-09-05 11:52:00-04:00,2024-09-05 11:50:00-04:00,SHORT,106.9601,106.93870798,106.44658455989999,187,0.01,0.5,108.029701,106.4252995,TAKE_PROFIT_BRACKET,100.00769350000054,7.980613941297804,1.309,9.289613941297803,90.71807955870274,6
2024-09-05 12:49:00-04:00,2024-09-05 14:53:00-04:00,2024-09-05 14:00:00-04:00,LONG,107.18,107.201436,107.69435682000001,186,0.01,0.5,106.10820000000001,107.7159,TAKE_PROFIT_BRACKET,99.67739999999964,7.994127479997957,1.302,9.296127479997956,90.38127252000167,71
2024-09-05 15:16:00-04:00,2024-09-05 15:56:00-04:00,2024-09-05 15:59:00-04:00,SHORT,106.77,106.748646,107.26144799999999,187,0.01,0.5,107.8377,106.23615,FORCED_EOD,-87.88999999999979,8.003973999999005,1.309,9.312973999999004,-97.20297399999879,43
2024-09-06 12:04:00-04:00,2024-09-06 12:09:00-04:00,2024-09-06 12:07:00-04:00,LONG,101.185,101.205237,101.67058681500001,197,0.01,0.5,100.17315,101.69092500000001,TAKE_PROFIT_BRACKET,99.66722500000095,7.993311444998909,1.379,9.372311444998909,90.29491355500204,3
2024-09-06 13:42:00-04:00,2024-09-06 13:53:00-04:00,2024-09-06 13:55:00-04:00,LONG,102.02,102.040404,102.50959397999999,196,0.01,0.5,100.9998,102.53009999999999,TAKE_PROFIT_BRACKET,99.97959999999887,8.018363919999672,1.372,9.390363919999672,90.5892360799992,13
2024-09-06 14:05:00-04:00,2024-09-06 14:16:00-04:00,2024-09-06 14:26:00-04:00,SHORT,102.32,102.29953599999999,101.82876167999999,195,0.01,0.5,103.3432,101.80839999999999,TAKE_PROFIT_BRACKET,99.76200000000027,7.961007599999519,1.365,9.32600759999952,90.43599240000076,21
2024-09-06 15:31:00-04:00,2024-09-06 15:48:00-04:00,2024-09-06 15:55:00-04:00,SHORT,103.312,103.2913376,102.815999088,193,0.01,0.5,104.34512,102.79544,TAKE_PROFIT_BRACKET,99.69607999999968,7.955747183998227,1.351,9.306747183998226,90.38933281600146,24
2024-09-09 11:14:00-04:00,2024-09-09 11:41:00-04:00,2024-09-09 11:32:00-04:00,SHORT,103.945,103.924211,105.00544688999999,192,0.01,0.5,104.98445,103.425275,STOP,-199.57440000000042,8.022890879997249,1.344,9.366890879997248,-208.94129087999767,18
2024-09-09 12:42:00-04:00,2024-09-09 12:55:00-04:00,2024-09-09 12:53:00-04:00,LONG,105.385,105.406077,105.89074261500001,189,0.01,0.5,104.33115000000001,105.91192500000001,TAKE_PROFIT_BRACKET,99.58882500000107,7.987023764998895,1.323,9.310023764998896,90.27880123500218,11
2024-09-09 13:57:00-04:00,2024-09-09 15:07:00-04:00,2024-09-09 14:28:00-04:00,SHORT,105.52,105.498896,105.01339847999999,189,0.01,0.5,106.5752,104.99239999999999,TAKE_PROFIT_BRACKET,99.71640000000127,7.9573687199994225,1.323,9.280368719999423,90.43603128000186,31
2024-09-10 11:26:00-04:00,2024-09-10 11:51:00-04:00,2024-09-10 11:50:00-04:00,LONG,107.165,107.18643300000001,106.07213133,186,0.01,0.5,106.09335,107.70082500000001,STOP,-199.326900000001,7.933210619999613,1.302,9.235210619999613,-208.5621106200006,24
2024-09-10 12:55:00-04:00,2024-09-10 14:10:00-04:00,2024-09-10 14:01:00-04:00,LONG,106.19,106.211238,106.69960581000001,188,0.01,0.5,105.1281,106.72095,TAKE_PROFIT_BRACKET,99.8186000000008,8.005451719998177,1.316,9.321451719998178,90.49714828000262,66
2024-09-10 15:15:00-04:00,2024-09-10 15:33:00-04:00,2024-09-10 15:31:00-04:00,LONG,107.165,107.18643300000001,107.679284835,186,0.01,0.5,106.09335,107.70082500000001,TAKE_PROFIT_BRACKET,99.6634500000005,7.993008690001204,1.302,9.295008690001204,90.36844130999928,16
2024-09-10 15:51:00-04:00,2024-09-10 15:56:00-04:00,2024-09-10 15:59:00-04:00,SHORT,107.56,107.538488,108.04160399999999,185,0.01,0.5,108.6356,107.0222,FORCED_EOD,-85.09999999999884,7.976459999999577,1.295,9.271459999999577,-94.37145999999842,8
2024-09-11 11:54:00-04:00,2024-09-11 12:41:00-04:00,2024-09-11 12:04:00-04:00,SHORT,110.7,110.67786000000001,111.8293614,180,0.01,0.5,111.807,110.1465,STOP,-199.25999999999988,8.010251999997706,1.26,9.270251999997706,-208.53025199999757,10
2024-09-12 13:56:00-04:00,2024-09-12 14:07:00-04:00,2024-09-12 14:10:00-04:00,SHORT,120.77,120.745846,120.19018323,165,0.01,0.5,121.9777,120.16615,TAKE_PROFIT_BRACKET,99.63524999999905,7.9508929499994,1.155,9.105892949999399,90.52935704999965,14
2024-09-13 11:49:00-04:00,2024-09-13 12:22:00-04:00,2024-09-13 15:59:00-04:00,LONG,119.1,119.12382,119.04618599999999,167,0.01,0.5,117.90899999999999,119.6955,FORCED_EOD,-5.01000000000019,7.954878000000363,1.169,9.123878000000364,-14.133878000000553,250
2024-09-16 10:35:00-04:00,2024-09-16 10:51:00-04:00,2024-09-16 12:21:00-04:00,SHORT,116.32,116.296736,115.76154767999999,171,0.01,0.5,117.4832,115.7384,TAKE_PROFIT_BRACKET,99.45359999999907,7.9363972799985305,1.197,9.13339727999853,90.32020272000054,106
2024-09-16 15:00:00-04:00,2024-09-16 15:05:00-04:00,2024-09-16 15:59:00-04:00,LONG,116.345,116.368269,116.746646,171,0.01,0.5,115.18155,116.926725,FORCED_EOD,72.67499999999951,7.972532999999444,1.197,9.169532999999443,63.50546700000007,59
2024-09-17 11:00:00-04:00,2024-09-17 11:15:00-04:00,2024-09-17 11:33:00-04:00,SHORT,117.52,117.496496,116.95578648,170,0.01,0.5,118.6952,116.9324,TAKE_PROFIT_BRACKET,99.89199999999911,7.9713816000003135,1.19,9.161381600000313,90.7306183999988,33
2024-09-17 12:19:00-04:00,2024-09-17 13:14:00-04:00,2024-09-17 12:22:00-04:00,SHORT,116.88,116.856624,116.31885911999998,171,0.01,0.5,118.0488,116.2956,TAKE_PROFIT_BRACKET,99.93240000000038,7.974605519998391,1.197,9.17160551999839,90.76079448000199,3
2024-09-17 14:49:00-04:00,2024-09-17 15:12:00-04:00,2024-09-17 15:59:00-04:00,SHORT,115.13,115.106974,115.608117,173,0.01,0.5,116.2813,114.55435,FORCED_EOD,-78.7149999999997,7.982739000000123,1.211,9.193739000000123,-87.90873899999983,70
2024-09-18 10:12:00-04:00,2024-09-18 10:15:00-04:00,2024-09-18 11:40:00-04:00,SHORT,114.995,114.972001,114.442909005,173,0.01,0.5,116.14495000000001,114.42002500000001,TAKE_PROFIT_BRACKET,99.47067499999912,7.937759864998824,1.211,9.148759864998825,90.3219151350003,88
