variant,symbol,peak_timestamp,trough_timestamp,marginal_drawdown_usd,share_of_portfolio_dd_pct
factual_sum,NVDA,2026-04-21 15:44:00-04:00,2026-07-23 11:30:00-04:00,-639.1178353401,-8.2309764745
factual_sum,MSFT,2026-04-21 15:44:00-04:00,2026-07-23 11:30:00-04:00,1498.9771790200,19.3048061158
factual_sum,AVGO,2026-04-21 15:44:00-04:00,2026-07-23 11:30:00-04:00,2532.7223348599,32.6180506975
factual_sum,AMD,2026-04-21 15:44:00-04:00,2026-07-23 11:30:00-04:00,4372.2058568997,56.3081196613
equal_normalized,NVDA,2026-04-21 15:44:00-04:00,2026-07-23 11:30:00-04:00,-159.7794588350,-8.2309764745
equal_normalized,MSFT,2026-04-21 15:44:00-04:00,2026-07-23 11:30:00-04:00,374.7442947550,19.3048061158
equal_normalized,AVGO,2026-04-21 15:44:00-04:00,2026-07-23 11:30:00-04:00,633.1805837150,32.6180506975
equal_normalized,AMD,2026-04-21 15:44:00-04:00,2026-07-23 11:30:00-04:00,1093.0514642249,56.3081196613
seen_veto_diagnostic,NVDA,2026-07-07 11:50:00-04:00,2026-07-24 15:10:00-04:00,1929.8266248400,100.0000000000
