entry_time,exit_time,direction,entry_price,exit_price,shares,entry_z,exit_z,duration_bars,gross_pnl,costs,net_pnl,exit_reason
2025-08-22 10:01:00-04:00,2025-08-22 10:54:00-04:00,LONG,175.755144,177.044584,113,-3.863034732278853,-0.2325050986524128,53,153.68000000000154,8.764280000000046,144.9157200000015,TAKE_PROFIT
2025-08-22 12:57:00-04:00,2025-08-22 13:06:00-04:00,SHORT,176.934606,177.665526,113,2.99334252457284,-0.1533993869684921,9,-74.57999999999961,8.804960000000111,-83.38495999999972,TAKE_PROFIT
2025-08-22 14:24:00-04:00,2025-08-22 14:49:00-04:00,SHORT,177.889415,178.21983684,112,2.503653366090797,-0.3035332570700882,25,-29.03039999999919,8.760846079999178,-37.791246079998366,TAKE_PROFIT
2025-08-22 15:07:00-04:00,2025-08-22 15:56:00-04:00,SHORT,177.989395,177.875568,112,3.359525715080953,0.9853950096878776,49,20.72000000000025,8.7553759999986,11.964624000001654,TAKE_PROFIT
2025-08-25 11:03:00-04:00,2025-08-25 11:47:00-04:00,SHORT,180.253942,181.171227,110,2.6512405667010905,0.2137798707071975,44,-92.94999999999987,8.721349999999308,-101.67134999999918,TAKE_PROFIT
2025-08-25 12:26:00-04:00,2025-08-25 13:38:00-04:00,LONG,181.401273,180.943804,110,-2.5837143561925227,0.1300698211908319,72,-42.350000000002126,8.74158999999823,-51.09159000000035,TAKE_PROFIT
2025-08-25 15:24:00-04:00,2025-08-25 15:56:00-04:00,LONG,181.131219,180.278937,110,-2.893171370289407,-3.345310833367502,32,-85.80000000000013,8.721019999997015,-94.52101999999714,TAKE_PROFIT
2025-08-26 13:36:00-04:00,2025-08-26 13:51:00-04:00,SHORT,181.56368,181.35856446,110,2.7338644823896834,-0.4434320858886181,15,30.54699999999798,8.754290599997052,21.792709400000927,TAKE_PROFIT
2025-08-26 14:41:00-04:00,2025-08-26 15:11:00-04:00,SHORT,182.148563,182.1134154,109,2.672159213891683,-0.6134753818262138,30,11.772000000000446,8.703911600001783,3.068088399998663,TAKE_PROFIT
2025-08-26 15:19:00-04:00,2025-08-26 15:46:00-04:00,LONG,181.811355,181.9521023,110,-2.559750250313395,-0.1244459850191747,27,23.484999999998024,8.772796999999475,14.71220299999855,TAKE_PROFIT
2025-08-27 12:21:00-04:00,2025-08-27 12:41:00-04:00,LONG,181.63091892,181.703652,110,-2.6000943297261414,-0.1343357523767462,20,15.99399999999946,8.763361199998787,7.230638800000673,TAKE_PROFIT
2025-08-27 14:16:00-04:00,2025-08-27 14:26:00-04:00,SHORT,182.42340802,182.20423356,109,2.556516082613804,-0.6824725931331064,10,31.83890000000053,8.711883859999995,23.127016140000546,TAKE_PROFIT
2025-08-27 15:13:00-04:00,2025-08-27 15:30:00-04:00,LONG,181.171227,181.628667,110,-2.737804804477785,-0.7729443226036005,17,58.300000000000125,8.751599999997968,49.54840000000216,TAKE_PROFIT
2025-08-28 11:55:00-04:00,2025-08-28 12:25:00-04:00,LONG,178.725738,179.274138,111,-2.6146474324419886,0.1737291385501481,30,68.8200000000005,8.724600000001983,60.09539999999852,TAKE_PROFIT
2025-08-28 13:10:00-04:00,2025-08-28 13:17:00-04:00,LONG,178.750743,179.31283026,111,-2.541168056528706,0.2355576357283618,7,70.34070000000051,8.726014140000684,61.614685859999824,TAKE_PROFIT
2025-08-28 14:25:00-04:00,2025-08-28 15:09:00-04:00,SHORT,180.64556366,180.84806238,110,3.256538897873423,0.0106687899314515,44,-14.32200000000023,8.722859199999125,-23.044859199999355,TAKE_PROFIT
2025-08-28 15:24:00-04:00,2025-08-28 15:41:00-04:00,LONG,180.030999,180.803832,111,-2.873059574942921,0.3181736271650791,17,93.79499999999987,8.787537000000823,85.00746299999905,TAKE_PROFIT
2025-08-29 10:51:00-04:00,2025-08-29 11:08:00-04:00,LONG,173.62891883999998,174.31513,115,-2.609349533974909,0.1678223035857186,17,86.91699999999926,8.807716599996091,78.10928340000316,TAKE_PROFIT
2025-08-29 13:06:00-04:00,2025-08-29 13:41:00-04:00,LONG,173.694732,173.885216,115,-3.242592883547234,0.0244161720839148,35,29.899999999998958,8.799339999999198,21.10065999999976,TAKE_PROFIT
2025-08-29 15:55:00-04:00,2025-08-29 15:56:00-04:00,LONG,173.444682,173.71525,115,-3.404929917668003,-0.9584631348257164,1,39.10000000000039,8.789680000000708,30.310319999999685,TAKE_PROFIT
2025-09-02 12:09:00-04:00,2025-09-02 12:20:00-04:00,LONG,167.28345,168.1128707,119,-2.571106391091372,-0.1810092877236413,11,106.68350000000038,8.815436699998687,97.8680633000017,TAKE_PROFIT
2025-09-02 15:32:00-04:00,2025-09-02 15:53:00-04:00,SHORT,170.54598398,170.72413799999998,117,2.681894521610044,0.1358711679295576,21,-12.858300000001208,8.804720339998068,-21.66302033999928,TAKE_PROFIT
2025-09-03 11:04:00-04:00,2025-09-03 11:30:00-04:00,LONG,171.619317,170.67165884000002,116,-2.531268352720001,0.3576452901377481,26,-101.98719999999967,8.753146559997377,-110.74034655999706,TAKE_PROFIT
2025-09-03 12:42:00-04:00,2025-09-03 13:40:00-04:00,LONG,170.73914100000002,170.64586400000002,117,-3.01479642776229,1.0796522002261697,58,-2.925000000000665,8.807408999999394,-11.73240900000006,TAKE_PROFIT
2025-09-03 14:23:00-04:00,2025-09-03 15:01:00-04:00,LONG,169.47888899999998,169.21615,118,-2.812722650064863,0.4214205473461836,38,-23.009999999999195,8.81920199999869,-31.829201999997885,TAKE_PROFIT
2025-09-03 15:40:00-04:00,2025-09-03 15:56:00-04:00,LONG,169.588911,170.130967,117,-2.585390889447193,-0.8821571920324086,16,71.36999999999827,8.768447999998001,62.60155200000027,TAKE_PROFIT
2025-09-04 11:11:00-04:00,2025-09-04 12:04:00-04:00,LONG,170.40177354000002,170.505892,117,-2.773530641746396,0.7400447334894886,53,20.15909999999749,8.796240180001389,11.362859819996103,TAKE_PROFIT
2025-09-05 13:38:00-04:00,2025-09-05 14:10:00-04:00,LONG,166.1642262,166.31673,120,-2.587045606240608,-0.0918826919906896,32,26.27999999999929,8.819543999998668,17.460456000000622,TAKE_PROFIT
2025-09-05 14:53:00-04:00,2025-09-05 15:11:00-04:00,LONG,166.173228,166.83442644,120,-2.565868481304417,-0.2278486996286363,18,87.33600000000024,8.832187200001126,78.50381279999911,TAKE_PROFIT
2025-09-08 11:49:00-04:00,2025-09-08 12:00:00-04:00,LONG,169.39387200000002,169.931007,118,-2.7496112006118207,0.7433777124300385,11,71.38999999999879,8.834070000001397,62.5559299999974,TAKE_PROFIT
