time_winner_quantile,stop_winner_quantile,max_holding_bars,stop_loss_pct,development_joint_winner_survival,initial_capital,final_equity,total_pnl,total_return_pct,cagr_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,max_drawdown_usd,total_trades,win_rate_pct,profit_factor,avg_trade_pnl,avg_win_pnl,avg_loss_pnl,win_loss_ratio,avg_duration_mins,total_commissions,total_slippage,exit_reasons_breakdown
0.975,0.99,51,0.009720931528077764,0.9710144927536232,100000.0,96244.28971573258,-3755.7102842674212,-3.755710284267421,-9.196010703859613,-6.204885517415826,-6.100117497190801,3.996969365508987,4002.2406752274546,264,46.96969696969697,0.4727801453915528,-14.226175319194258,27.16050690580694,-50.88295100419531,0.5337840351194951,18.21590909090909,212.674,2102.7008385257104,"{'TAKE_PROFIT': 224, 'FORCED_EOD': 23, 'STOP_LOSS': 11, 'TIME_STOP': 6}"
0.95,0.99,41,0.009720931528077764,0.9528985507246377,100000.0,96280.55968799534,-3719.4403120046627,-3.7194403120046626,-9.109752165017992,-6.223446134713344,-6.123566372824715,3.9607471640508334,3965.970702964696,264,46.96969696969697,0.47519963071242205,-14.088789060623288,27.16050690580694,-50.62387977374719,0.5365157120946701,17.886363636363637,212.674,2102.6814788032016,"{'TAKE_PROFIT': 220, 'FORCED_EOD': 23, 'TIME_STOP': 11, 'STOP_LOSS': 10}"
0.925,0.99,33,0.009720931528077764,0.9202898550724637,100000.0,96273.87844909535,-3726.121550904645,-3.726121550904645,-9.125645437113572,-6.242472721344523,-6.139396178981548,3.9674196031602977,3972.6519418646785,264,46.96969696969697,0.46887417892246486,-14.114096783729238,26.52737238967795,-50.11082662303274,0.5293740729769765,17.37121212121212,212.674,2102.6990177031826,"{'TAKE_PROFIT': 207, 'TIME_STOP': 25, 'FORCED_EOD': 22, 'STOP_LOSS': 10}"
0.99,0.99,65,0.009720931528077764,0.9855072463768116,100000.0,96185.66882444217,-3814.3311755578325,-3.814331175557832,-9.335320563013417,-6.258164007126046,-6.14051717896034,4.055513047830963,4060.861566517866,264,46.96969696969697,0.4689213469474671,-14.44822414983981,27.16050690580694,-51.30167165626977,0.5294273271987533,18.359848484848484,212.674,2102.714010069659,"{'TAKE_PROFIT': 227, 'FORCED_EOD': 23, 'STOP_LOSS': 12, 'TIME_STOP': 2}"
0.9,0.99,29,0.009720931528077764,0.9021739130434783,100000.0,96372.44881785336,-3627.5511821466353,-3.627551182146635,-8.890997003768442,-6.259152418030587,-6.127035535319054,3.868979060413503,3874.0815731066687,264,46.590909090909086,0.46927981016300635,-13.740724174797506,26.078025023740285,-48.47622879479855,0.5379549043332024,16.875,212.674,2102.6853008927983,"{'TAKE_PROFIT': 195, 'TIME_STOP': 38, 'FORCED_EOD': 22, 'STOP_LOSS': 9}"
0.975,0.975,51,0.007278582291414839,0.9565217391304348,100000.0,96218.72453413437,-3781.275465865634,-3.781275465865634,-9.256781048713759,-6.3684847927234784,-6.248974697012563,4.022500875471447,4027.8058568256674,264,46.96969696969697,0.4710895021136469,-14.323013128278308,27.16050690580694,-51.06555944418238,0.5318752443218595,17.640151515151516,212.674,2102.5914192610126,"{'TAKE_PROFIT': 213, 'FORCED_EOD': 23, 'STOP_LOSS': 23, 'TIME_STOP': 5}"
0.99,0.975,65,0.007278582291414839,0.9710144927536232,100000.0,96198.38609802119,-3801.6139019788097,-3.80161390197881,-9.305109503630515,-6.400104932111505,-6.274997461614148,4.042812524041183,4048.144292938843,264,46.96969696969697,0.4697531186354665,-14.400052659010056,27.16050690580694,-51.210833987847955,0.5303664242658492,17.768939393939394,212.674,2102.592794673151,"{'TAKE_PROFIT': 215, 'STOP_LOSS': 24, 'FORCED_EOD': 23, 'TIME_STOP': 2}"
0.95,0.975,41,0.007278582291414839,0.9420289855072463,100000.0,96218.34851473437,-3781.6514852656255,-3.7816514852656256,-9.257674691776574,-6.411628442640817,-6.288949222845258,4.022876399620183,4028.181876225659,264,46.96969696969697,0.47106472591313603,-14.3244374441874,27.16050690580694,-51.06824529703951,0.5318472711922504,17.386363636363637,212.674,2102.582438661009,"{'TAKE_PROFIT': 209, 'FORCED_EOD': 23, 'STOP_LOSS': 23, 'TIME_STOP': 9}"
0.9,0.975,29,0.007278582291414839,0.8913043478260869,100000.0,96293.11316802104,-3706.8868319789617,-3.7068868319789616,-9.079885523303632,-6.424964136490852,-6.267034560408326,3.9482102180835836,3953.417222938995,264,46.590909090909086,0.46389537089355165,-14.041237999919952,26.078025023740285,-49.03889297800654,0.5317824983413884,16.477272727272727,212.674,2102.5960897736345,"{'TAKE_PROFIT': 187, 'TIME_STOP': 36, 'FORCED_EOD': 22, 'STOP_LOSS': 19}"
0.925,0.975,33,0.007278582291414839,0.9094202898550725,100000.0,96167.4379721044,-3832.562027895605,-3.832562027895605,-9.37861904925985,-6.5067601752883935,-6.3673571791502575,4.073719888502046,4079.0924188556382,264,46.96969696969697,0.46186666724699293,-14.517280408694901,26.52737238967795,-50.87111574439657,0.5214623662466048,16.924242424242426,212.674,2102.598235351802,"{'TAKE_PROFIT': 197, 'TIME_STOP': 23, 'FORCED_EOD': 22, 'STOP_LOSS': 22}"
