trade_id,ticker,direction,entry_time,entry_price,exit_time,exit_price,shares,position_value,gross_pnl,commission,slippage,net_pnl,return_pct,exit_reason,duration_bars,entry_z_score,exit_z_score,mae_pct
3,NVDA,-1,2024-08-22 15:51:00-04:00,123.645266,2024-08-22 15:56:00-04:00,123.464688,161,19910.87,37.03000000000064,1.127,7.956941999998833,27.946058000001806,0.0014035578555834983,FORCED_EOD,5,0.4956850271047233,-0.4732052591872715,0.0007661757143212286
4,NVDA,1,2024-08-23 12:48:00-04:00,126.92538,2024-08-23 13:17:00-04:00,127.62447,157,19923.3,117.75,1.099,7.992870000000281,108.65812999999972,0.005453821907013382,TAKE_PROFIT,29,-2.574025292056956,1.2746772051110222,0.0007514651522020717
6,NVDA,1,2024-08-23 15:00:00-04:00,128.305656,2024-08-23 15:26:00-04:00,128.764242,155,19883.4,79.04999999999859,1.085,7.969169999999082,69.99582999999951,0.003520314936077306,TAKE_PROFIT,26,-2.5441828994693507,-0.31808555708014163,0.0033564849237823083
7,NVDA,1,2024-08-23 15:32:00-04:00,128.570709,2024-08-23 15:39:00-04:00,128.594276,155,19924.475,11.625000000002643,1.085,7.972115000000457,2.5678850000021853,0.00012888093663708506,TAKE_PROFIT,7,-3.0861708902921983,0.7357739728261703,0.0011721876714548274
9,NVDA,1,2024-08-26 15:46:00-04:00,126.29025299999999,2024-08-26 15:49:00-04:00,126.364722,158,19949.87,19.75,1.106,7.9838979999987885,10.66010200000121,0.0005343444343246954,TAKE_PROFIT,3,-1.4567442039450191,1.6718497162557302,0.001348108788728044
10,NVDA,1,2024-08-27 11:42:00-04:00,127.69613412,2024-08-27 11:46:00-04:00,127.864422,156,19916.6136,34.22640000000115,1.092,7.973490719999859,25.16090928000129,0.001263312618566908,TAKE_PROFIT,4,-1.4427487630341491,1.0970811261075526,0.0018491876956752674
15,NVDA,1,2024-08-28 14:43:00-04:00,124.76494799999999,2024-08-28 14:51:00-04:00,124.97000100000001,160,19958.399999999998,40.800000000001546,1.12,7.991519999998218,31.68848000000333,0.0015877264710599714,TAKE_PROFIT,8,-1.1109127059639952,0.6762240883493907,0.002724707583735719
16,NVDA,1,2024-08-29 11:23:00-04:00,121.184232,2024-08-29 11:41:00-04:00,121.65566400000002,165,19991.399999999998,85.80000000000169,1.155,8.013719999998159,76.63128000000353,0.0038332122812811276,TAKE_PROFIT,18,-2.356421673804085,0.12659971688844776,0.0037482764259296575
21,NVDA,-1,2024-09-03 12:44:00-04:00,110.35032552,2024-09-03 13:00:00-04:00,110.197035,181,19977.4044,35.729400000000325,1.2670000000000001,7.983815880000549,26.478584119999773,0.0013254266465166904,TAKE_PROFIT,16,2.688049907692965,0.3506568822115217,0.004165592424253357
24,NVDA,1,2024-09-04 12:48:00-04:00,108.41197806,2024-09-04 12:58:00-04:00,108.803235,184,19943.8152,79.9848000000012,1.288,7.993523040000241,70.70327696000096,0.003545122949193841,TAKE_PROFIT,10,-2.6079134274588247,0.8902081419814953,0.0010790141651622024
26,NVDA,-1,2024-09-04 15:54:00-04:00,106.74364700000001,2024-09-04 15:56:00-04:00,106.406277,187,19965.055,71.05999999999915,1.309,7.971809999997831,61.77919000000132,0.003094366131222845,FORCED_EOD,2,3.010809466195032,1.0217008584059823,0.00043424598374455304
29,NVDA,1,2024-09-06 12:04:00-04:00,101.205237,2024-09-06 12:09:00-04:00,101.719652,197,19933.445,109.33499999999854,1.379,7.995244999998619,99.96075499999992,0.005014725502791912,TAKE_PROFIT,5,-2.848437994159508,0.6002910166532833,0.0025219742334084347
30,NVDA,1,2024-09-09 12:32:00-04:00,105.56370851999999,2024-09-09 12:54:00-04:00,105.848826,189,19947.5514,61.878600000002166,1.323,7.991396280000103,52.56420372000206,0.0026351206053291366,TAKE_PROFIT,22,-2.6028860277542165,0.6827361602303207,0.003540123071075998
31,NVDA,-1,2024-09-09 14:01:00-04:00,105.298936,2024-09-09 14:29:00-04:00,105.00089598,189,19905.48,64.27889999999859,1.323,7.949336219998216,55.00656378000037,0.002763387960501348,TAKE_PROFIT,28,2.557696816877562,-1.0025251418278456,0.0016720396870866451
33,NVDA,1,2024-09-10 14:03:00-04:00,106.97139,2024-09-10 14:06:00-04:00,106.98859800000001,186,19892.7,11.160000000000423,1.302,7.95931199999842,1.8986880000020037,9.54464703133312e-05,TAKE_PROFIT,3,-2.0064582996873206,1.0060517076944098,0.0005738917667612147
34,NVDA,1,2024-09-10 15:16:00-04:00,107.2119381,2024-09-10 15:28:00-04:00,107.363523,186,19937.433,36.17700000000093,1.302,7.982208600000348,26.892791400000583,0.001348859273909564,TAKE_PROFIT,12,-2.2759826317906184,-0.201926499097048,0.0016969947864415712
35,NVDA,-1,2024-09-11 10:27:00-04:00,109.538088,2024-09-11 10:40:00-04:00,108.131622,182,19939.920000000002,263.90000000000055,1.274,7.923187999998902,254.70281200000164,0.012773512230741227,TAKE_PROFIT,13,2.7128756051067793,-0.24169525951972276,0.002208473823278705
36,NVDA,1,2024-09-11 11:49:00-04:00,110.53210200000001,2024-09-11 11:53:00-04:00,110.587878,180,19891.8,17.999999999998977,1.26,7.960319999999967,8.779679999999008,0.0004413718215545606,TAKE_PROFIT,4,-2.5101038737446455,1.5375340805203777,0.0013760889121606815
