stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,total_pnl,mean_block_pnl,median_block_pnl,se_mean_block_pnl,positive_blocks,agg_trades,agg_active_days,agg_costs,agg_clipped,viable,pareto,cluster_mean_block_pnl,cluster_pnl_over_dd,cluster_cvar5_loss_usd,cluster_worst_loss_usd,cluster_agg_clipped,viable_neighbor_count,neighbor_ids,viable_neighbor_ids,stable_pareto,is_current,selected_candidate,candidate_fold_anchored_count,candidate_fold_rolling_count
0.2500000000,0.2500000000,188.0000000000,72960.0000000000,2186.0000000000,188.0000000000,-2539.2700000000,18030.7800177581,735.5110000000,17295.2690177581,-20570.0500177581,3753.6479602009,-24323.6979779589,44.8307410796,0.1543206121,-24.0262847135,20576.5340907577,-0.9996848802,22.7847993869,23.4195600000,23813.8164627400,20755.0878354000,1200.0000000000,980.0000000000,6.0000000000,-20570.0500177581,-2285.5611130842,-2334.5867090798,105.9691635324,0,2186.0000000000,188.0000000000,18030.7800177581,23813.8164627400,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,0.5000000000,188.0000000000,72960.0000000000,1927.0000000000,188.0000000000,-142.3765000000,15892.4953670983,647.6330000000,15244.8623670983,-16034.8718670983,10005.9131402405,-26040.7850073389,32.7451997924,0.3842400733,-18.1215570648,16053.1035900978,-0.9988642867,22.8841905134,23.4195600000,23317.6390944000,20582.8169854000,1284.0000000000,629.0000000000,14.0000000000,-16034.8718670983,-1781.6524296776,-1741.8763147198,131.7312002585,0,1927.0000000000,188.0000000000,15892.4953670983,23317.6390944000,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,0.7500000000,188.0000000000,72960.0000000000,1807.0000000000,188.0000000000,882.5891000000,14901.9875830584,606.3750000000,14295.6125830584,-14019.3984830584,12847.7950434404,-26867.1935264988,25.9546209186,0.4781963933,-14.5427097445,14049.3778560581,-0.9978661423,22.8989366967,23.4195600000,23035.9198205600,20514.0712354001,1324.0000000000,458.0000000000,25.0000000000,-14019.3984830584,-1557.7109425620,-1612.2300716398,153.4296504522,0,1807.0000000000,188.0000000000,14901.9875830584,23035.9198205600,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.0000000000,188.0000000000,72960.0000000000,1754.0000000000,188.0000000000,1091.2941000000,14464.4915948184,588.7000000000,13875.7915948184,-13373.1974948184,14388.2592074003,-27761.4567022188,21.3226909920,0.5182818525,-12.9749111855,13414.9245178180,-0.9968895074,22.9334588441,23.4195600000,22770.6886035601,20541.0938354001,1368.0000000000,354.0000000000,32.0000000000,-13373.1974948184,-1485.9108327576,-1407.5668861598,155.8979567278,0,1754.0000000000,188.0000000000,14464.4915948184,22770.6886035601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.2500000000,188.0000000000,72960.0000000000,1734.0000000000,188.0000000000,966.1761000000,14299.7740095785,582.1060000000,13717.6680095785,-13333.5979095785,15287.7540363602,-28621.3519459387,17.9930795848,0.5341380821,-11.9763669819,13401.9749888980,-0.9948979849,22.9410392970,23.4195600000,22516.2905155601,20508.5665354001,1410.0000000000,286.0000000000,38.0000000000,-13333.5979095785,-1481.5108788421,-1526.6086233998,165.4933617993,0,1734.0000000000,188.0000000000,14299.7740095785,22516.2905155601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.5000000000,188.0000000000,72960.0000000000,1716.0000000000,188.0000000000,507.2526000000,14151.5169601185,575.8410000000,13575.6759601185,-13644.2643601185,15563.8386587202,-29208.1030188387,15.3846153846,0.5328603042,-11.2794313827,13752.8605520780,-0.9921037379,22.9386938237,23.4195600000,22520.0706535601,20303.5390354001,1440.0000000000,234.0000000000,42.0000000000,-13644.2643601185,-1516.0293733465,-1510.0034653998,166.0074088289,0,1716.0000000000,188.0000000000,14151.5169601185,22520.0706535601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.7500000000,188.0000000000,72960.0000000000,1693.0000000000,188.0000000000,685.6590000000,13962.0987415985,567.9590000000,13394.1397415985,-13276.4397415985,16055.1198193602,-29331.5595609587,13.8806851742,0.5473667292,-10.5911297045,13426.0394335580,-0.9888574965,22.9276423158,23.4046800000,22360.1029635601,20187.0398354001,1446.0000000000,203.0000000000,44.0000000000,-13276.4397415985,-1475.1599712887,-1532.0687293598,177.9752568329,0,1693.0000000000,188.0000000000,13962.0987415985,22360.1029635601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.0000000000,188.0000000000,72960.0000000000,1684.0000000000,188.0000000000,670.7940000000,13887.7969367185,564.8790000000,13322.9179367185,-13217.0029367185,16393.6407391602,-29610.6436758787,12.5890736342,0.5536401342,-10.1959948027,13407.6061286779,-0.9857839505,22.9276423158,23.4046800000,22126.3682195001,20249.0413354001,1460.0000000000,176.0000000000,48.0000000000,-13217.0029367185,-1468.5558818576,-1566.5588293598,202.3229688013,0,1684.0000000000,188.0000000000,13887.7969367185,22126.3682195001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.2500000000,188.0000000000,72960.0000000000,1664.0000000000,188.0000000000,79.2390000000,13722.4393597185,557.8090000000,13164.6303597185,-13643.2003597185,16039.7801052402,-29682.9804649587,11.2980769231,0.5403695941,-10.0181168893,13743.6656327182,-0.9926900671,22.9347371010,23.4046800000,21966.2412635001,20073.5453354001,1464.0000000000,151.0000000000,49.0000000000,-13643.2003597185,-1515.9111510798,-1552.5202293598,201.7093876975,0,1664.0000000000,188.0000000000,13722.4393597185,21966.2412635001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.5000000000,188.0000000000,72960.0000000000,1648.0000000000,188.0000000000,-179.3360000000,13590.5456529185,552.3210000000,13038.2246529185,-13769.8816529185,15944.4274759601,-29714.3091288787,10.3155339806,0.5365908865,-9.4530935250,13882.0945759181,-0.9919167153,22.9327227528,23.4046800000,21841.7652076601,20111.7970854001,1466.0000000000,132.0000000000,50.0000000000,-13769.8816529185,-1529.9868503243,-1454.7483793598,180.1170054582,0,1648.0000000000,188.0000000000,13590.5456529185,21841.7652076601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.7500000000,188.0000000000,72960.0000000000,1633.0000000000,188.0000000000,-255.6360000000,13466.7159248786,547.2670000000,12919.4489248786,-13722.3519248786,15929.2588950001,-29651.6108198787,9.7366809553,0.5372139474,-9.1436406339,13734.7098228782,-0.9991002432,22.9428757132,23.4046800000,21876.4954896601,19973.0842354001,1463.0000000000,116.0000000000,54.0000000000,-13722.3519248785,-1524.7057694309,-1393.9691293598,188.4238793831,0,1633.0000000000,188.0000000000,13466.7159248786,21876.4954896601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,3.0000000000,188.0000000000,72960.0000000000,1621.0000000000,188.0000000000,192.3840000000,13367.0312502386,543.2420000000,12823.7892502386,-13174.6472502386,16337.7870732801,-29512.4343235187,9.4386181370,0.5535899511,-8.6183525318,13187.0051482381,-0.9990628730,22.9421361034,23.4046800000,21691.9211036601,19996.5889354001,1456.0000000000,105.0000000000,60.0000000000,-13174.6472502385,-1463.8496944709,-1418.6559407199,192.8912263381,0,1621.0000000000,188.0000000000,13367.0312502386,21691.9211036601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,3.2500000000,188.0000000000,72960.0000000000,1610.0000000000,188.0000000000,-96.2310000000,13276.0688032786,539.6580000000,12736.4108032786,-13372.2998032786,16119.6607695601,-29491.9605728387,8.8198757764,0.5465781337,-8.4972550448,13384.6577012782,-0.9990767117,22.9403877837,23.4046800000,21516.1649536601,19852.0600354001,1454.0000000000,92.0000000000,64.0000000000,-13372.2998032786,-1485.8110892532,-1489.1492793598,194.2686124524,0,1610.0000000000,188.0000000000,13276.0688032786,21516.1649536601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,3.5000000000,188.0000000000,72960.0000000000,1594.0000000000,188.0000000000,-5.7035000000,13143.7365483386,534.0090000000,12609.7275483386,-13149.4400483386,16146.0640860601,-29295.5041343987,8.5319949812,0.5511447768,-7.9729445979,13161.7979463383,-0.9990610783,22.9375765665,23.4046800000,21340.4088036601,19863.5623354001,1445.0000000000,83.0000000000,66.0000000000,-13149.4400483386,-1461.0488942598,-1673.4679293598,208.7715922598,0,1594.0000000000,188.0000000000,13143.7365483386,21340.4088036601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,3.7500000000,188.0000000000,72960.0000000000,1586.0000000000,188.0000000000,-165.3690000000,13077.2641534786,530.9920000000,12546.2721534786,-13242.6331534786,16001.6674749601,-29244.3006284387,8.1967213115,0.5471721714,-8.0287027378,13254.9910514783,-0.9990676796,22.9184935050,23.4046800000,21325.2106736601,19875.0646354001,1443.0000000000,75.0000000000,68.0000000000,-13242.6331534786,-1471.4036837198,-1549.3704084598,222.2607850920,0,1586.0000000000,188.0000000000,13077.2641534786,21325.2106736601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,4.0000000000,188.0000000000,72960.0000000000,1571.0000000000,188.0000000000,631.9656000000,12953.0435264786,526.0080000000,12427.0355264786,-12321.0779264786,16640.2203320401,-28961.2982585187,8.2113303628,0.5745674860,-7.0336121744,12338.6485149183,-0.9985759714,22.9225087823,23.4046800000,21328.4779696601,19886.5669354001,1429.0000000000,72.0000000000,70.0000000000,-12321.0779264786,-1369.0086584976,-1413.9467484598,249.6305010754,0,1571.0000000000,188.0000000000,12953.0435264786,21328.4779696601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,4.2500000000,188.0000000000,72960.0000000000,1558.0000000000,188.0000000000,1073.8756000000,12845.7444545586,521.6050000000,12324.1394545586,-11771.8688545586,16966.9747360401,-28738.8435905987,8.1514762516,0.5903847412,-6.4042600007,12087.3106461585,-0.9739030624,22.9267028692,23.4046800000,21174.9673696601,19898.0692354001,1418.0000000000,68.0000000000,72.0000000000,-11771.8688545586,-1307.9854282843,-1297.9553484598,275.3434765275,0,1558.0000000000,188.0000000000,12845.7444545586,21174.9673696601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,4.5000000000,188.0000000000,72960.0000000000,1542.0000000000,188.0000000000,783.2335000000,12713.3713601787,516.2780000000,12197.0933601786,-11930.1378601786,16606.2723875801,-28536.4102477587,7.8469520104,0.5819327744,-6.3502079767,12322.8334241786,-0.9681326891,22.9195784590,23.4046800000,21021.4567696601,19909.5715354001,1408.0000000000,61.0000000000,73.0000000000,-11930.1378601786,-1325.5708733532,-1466.9827345199,283.5615851517,1,1542.0000000000,188.0000000000,12713.3713601786,21021.4567696601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,4.7500000000,188.0000000000,72960.0000000000,1519.0000000000,188.0000000000,824.9011000000,12523.5169224187,508.3610000000,12015.1559224187,-11698.6158224187,16435.0502772601,-28133.6660996788,7.7682685978,0.5841773418,-6.1911460390,12246.4374240986,-0.9552668598,22.9269117905,23.4046800000,20884.7795356601,19710.3027376400,1390.0000000000,55.0000000000,74.0000000000,-11698.6158224186,-1299.8462024910,-1433.7073201199,291.7331842271,1,1519.0000000000,188.0000000000,12523.5169224187,20884.7795356601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,5.0000000000,188.0000000000,72960.0000000000,1512.0000000000,188.0000000000,183.8461000000,12464.9113228587,505.9390000000,11958.9723228587,-12281.0652228586,15825.1931615001,-28106.2583843587,7.4074074074,0.5630487326,-6.4817718786,12512.2735755386,-0.9815214756,22.9194162905,23.4046800000,20975.4686356601,19710.3027376400,1388.0000000000,49.0000000000,75.0000000000,-12281.0652228586,-1364.5628025399,-1378.7021201199,288.9213143928,1,1512.0000000000,188.0000000000,12464.9113228587,20975.4686356601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,5.2500000000,188.0000000000,72960.0000000000,1499.0000000000,188.0000000000,-347.4967000000,12357.4853637387,501.6340000000,11855.8513637387,-12704.9820637387,15233.3821309401,-27938.3641946788,7.2048032021,0.5452496082,-6.8508833523,12905.6428904185,-0.9844516985,22.9242841077,23.4046800000,20867.7171856601,19691.0278354001,1380.0000000000,42.0000000000,77.0000000000,-12704.9820637387,-1411.6646737487,-1323.6969201199,297.3734448782,0,1499.0000000000,188.0000000000,12357.4853637387,20867.7171856601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,5.5000000000,188.0000000000,72960.0000000000,1490.0000000000,188.0000000000,-199.3187000000,12283.6905306987,498.6940000000,11784.9965306987,-12483.0092306987,15298.2847685401,-27781.2939992388,7.1812080537,0.5506685459,-6.6566118054,12761.6686833785,-0.9781643404,22.9242841077,23.4046800000,20876.1481516601,19691.0278354001,1373.0000000000,38.0000000000,79.0000000000,-12483.0092306987,-1387.0010256332,-1299.0811781199,302.1276840362,0,1490.0000000000,188.0000000000,12283.6905306987,20876.1481516601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,5.7500000000,188.0000000000,72960.0000000000,1483.0000000000,188.0000000000,162.3813000000,12225.8062386987,496.2860000000,11729.5202386987,-12063.4249386987,15615.8256825401,-27679.2506212388,7.0802427512,0.5641708259,-6.3072112398,12512.6382715987,-0.9640992313,22.9242841077,23.4046800000,20768.3967016601,19691.0278354001,1368.0000000000,37.0000000000,78.0000000000,-12063.4249386987,-1340.3805487443,-1260.1886141199,316.7874694898,1,1483.0000000000,188.0000000000,12225.8062386987,20768.3967016601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,6.0000000000,188.0000000000,72960.0000000000,1473.0000000000,188.0000000000,388.4413000000,12142.8654168587,492.7300000000,11650.1354168587,-11754.4241168587,15728.9527865401,-27483.3769033988,7.1283095723,0.5723078660,-6.0374910104,12434.9054755987,-0.9452765154,22.9212489470,23.4046800000,20660.6452516601,19710.8132634001,1359.0000000000,34.0000000000,80.0000000000,-11754.4241168587,-1306.0471240954,-1225.4674701199,323.4484651902,1,1473.0000000000,188.0000000000,12142.8654168587,20660.6452516601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,6.2500000000,188.0000000000,72960.0000000000,1459.0000000000,188.0000000000,314.4918000000,12026.6423674787,487.7740000000,11538.8683674787,-11712.1505674787,15521.5067925401,-27233.6573600188,7.0596298835,0.5699383886,-5.8937532703,12323.2884745987,-0.9504078876,22.9262455627,23.4046800000,20552.8938016601,19710.8132634001,1347.0000000000,31.0000000000,81.0000000000,-11712.1505674787,-1301.3500630532,-1183.4648701199,316.3084483294,1,1459.0000000000,188.0000000000,12026.6423674787,20552.8938016601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,6.5000000000,188.0000000000,72960.0000000000,1456.0000000000,188.0000000000,617.9141000000,12001.8900117787,486.6890000000,11515.2010117787,-11383.9759117787,15786.1909590001,-27170.1668707788,7.0741758242,0.5810119251,-5.6292085344,12121.2843741387,-0.9391724144,22.9262455627,23.4046800000,20445.1423516601,19710.8132634001,1344.0000000000,28.0000000000,84.0000000000,-11383.9759117787,-1264.8862124199,-1141.4622701199,320.6523775619,1,1456.0000000000,188.0000000000,12001.8900117787,20445.1423516601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,6.7500000000,188.0000000000,72960.0000000000,1453.0000000000,188.0000000000,988.6641000000,11977.1499649787,485.7160000000,11491.4339649787,-10988.4858649787,16122.1896590001,-27110.6755239788,7.0887818307,0.5946804846,-5.3289243703,11877.7641241387,-0.9251308369,22.9262455627,23.4046800000,20337.3909016601,19710.8132634001,1341.0000000000,28.0000000000,84.0000000000,-10988.4858649787,-1220.9428738865,-1117.2178384799,325.8274702226,1,1453.0000000000,188.0000000000,11977.1499649787,20337.3909016601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,7.0000000000,188.0000000000,72960.0000000000,1446.0000000000,188.0000000000,1089.0178000000,11919.7211132387,483.5180000000,11436.2031132387,-10830.7033132387,16182.3937655401,-27013.0970787788,6.9847856155,0.5990573283,-5.2024311457,11910.6364535987,-0.9093303582,22.9262455627,23.4046800000,20229.6394516601,19710.8132634001,1336.0000000000,25.0000000000,85.0000000000,-10830.7033132387,-1203.4114792487,-1103.9651884799,344.5762106714,1,1446.0000000000,188.0000000000,11919.7211132387,20229.6394516601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,7.2500000000,188.0000000000,72960.0000000000,1445.0000000000,188.0000000000,852.3388000000,11911.4709178388,483.0980000000,11428.3729178388,-11059.1321178387,15971.9923117401,-27031.1244295788,6.8512110727,0.5908741367,-5.4184754589,12073.7266381987,-0.9159667474,22.9262455627,23.4046800000,20493.5479834601,19710.8132634001,1337.0000000000,23.0000000000,85.0000000000,-11059.1321178387,-1228.7924575376,-1105.0313819199,340.5769570147,1,1445.0000000000,188.0000000000,11911.4709178387,20493.5479834601,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,7.5000000000,188.0000000000,72960.0000000000,1443.0000000000,188.0000000000,1065.7238000000,11894.9785385988,482.4400000000,11412.5385385988,-10829.2547385987,16161.8615887401,-26991.1163273388,6.8607068607,0.5987844813,-5.2397383789,12000.8565611988,-0.9023734834,22.9262455627,23.4046800000,20502.1296994601,19731.5508634001,1335.0000000000,21.0000000000,87.0000000000,-10829.2547385987,-1203.2505265110,-1077.4598884799,349.9393774600,1,1443.0000000000,188.0000000000,11894.9785385987,20502.1296994601,False,False,,,,,,0,,,False,False,False,0,0
