max_holding_bars,stop_loss_pct,duration_sources,stop_sources,eligible,baseline_development_winners,matched_entry_events,matched_entry_pct,direction_match_pct,still_net_profitable_count,still_net_profitable_pct,not_prematurely_closed_pct,development_sessions,development_raw_bars,development_trades,development_gross_pnl,development_commissions,development_slippage,development_costs,development_net_pnl,development_net_return_pct,development_net_sharpe,development_net_sortino,development_max_drawdown_usd_mtm,development_max_drawdown_pct_mtm,development_win_rate_pct,development_profit_factor,development_avg_net_trade,development_avg_duration_bars,development_final_equity,development_exit_reasons
61,0.015862358372,winner_q0.95+independently_fitted_95pct,winner_q1.0,True,132,132,100.000000000000,100.000000000000,130,98.484848484848,94.696969696970,250,96960,218,5314.862158153615,230.370000000000,1738.384363706875,1968.754363706875,3346.107794446827,3.346107794447,1.897515171976,3.465101452009,897.947006019909,0.893621581303,61.467889908257,1.521644419503,15.349118323150,30.839449541284,103346.107794446827,"{'TAKE_PROFIT': 158, 'FORCED_EOD': 31, 'TIME_STOP': 25, 'STOP_LOSS': 4}"
66,0.015862358372,winner_q0.975,winner_q1.0,True,132,132,100.000000000000,100.000000000000,130,98.484848484848,97.727272727273,250,96960,218,5288.868058153616,230.370000000000,1738.350669526883,1968.720669526883,3320.147388626807,3.320147388627,1.895312195345,3.466995562824,959.648352599892,0.954625933362,61.009174311927,1.511630133658,15.230033892783,31.339449541284,103320.147388626807,"{'TAKE_PROFIT': 165, 'FORCED_EOD': 31, 'TIME_STOP': 18, 'STOP_LOSS': 4}"
118,0.015862358372,winner_q0.99+winner_q1.0,winner_q1.0,True,132,132,100.000000000000,100.000000000000,131,99.242424242424,99.242424242424,250,96960,218,5116.381458153618,230.370000000000,1738.269740046886,1968.639740046886,3147.741718106830,3.147741718107,1.841479501417,3.365626426742,955.843001359885,0.951018516353,60.550458715596,1.500729395413,14.439182193150,33.275229357798,103147.741718106830,"{'TAKE_PROFIT': 180, 'FORCED_EOD': 33, 'STOP_LOSS': 4, 'TIME_STOP': 1}"
61,0.012169668583,winner_q0.95+independently_fitted_95pct,winner_q0.99,True,132,132,100.000000000000,100.000000000000,129,97.727272727273,93.939393939394,250,96960,218,5006.411838527314,230.370000000000,1738.312412201995,1968.682412201995,3037.729426325372,3.037729426325,1.719656738650,3.136670436979,938.657251658238,0.935589167134,61.009174311927,1.452102727845,13.934538652868,30.229357798165,103037.729426325372,"{'TAKE_PROFIT': 155, 'FORCED_EOD': 30, 'TIME_STOP': 25, 'STOP_LOSS': 8}"
66,0.012169668583,winner_q0.975,winner_q0.99,True,132,132,100.000000000000,100.000000000000,129,97.727272727273,96.969696969697,250,96960,218,4980.417738527316,230.370000000000,1738.278718022003,1968.648718022003,3011.769020505351,3.011769020505,1.716369568118,3.135854394563,1000.358598238221,0.996670802247,60.550458715596,1.443303164081,13.815454222501,30.729357798165,103011.769020505351,"{'TAKE_PROFIT': 162, 'FORCED_EOD': 30, 'TIME_STOP': 18, 'STOP_LOSS': 8}"
118,0.012169668583,winner_q0.99+winner_q1.0,winner_q0.99,True,132,132,100.000000000000,100.000000000000,130,98.484848484848,98.484848484848,250,96960,218,4807.931138527318,230.370000000000,1738.197788542006,1968.567788542006,2839.363349985375,2.839363349985,1.658281504677,3.026746844214,996.553246998214,0.993065657662,60.091743119266,1.430801298160,13.024602522868,32.665137614679,102839.363349985375,"{'TAKE_PROFIT': 177, 'FORCED_EOD': 32, 'STOP_LOSS': 8, 'TIME_STOP': 1}"
61,0.007397959184,winner_q0.95+independently_fitted_95pct,winner_q0.975,True,132,132,100.000000000000,100.000000000000,127,96.212121212121,92.424242424242,250,96960,218,4619.796210408225,230.370000000000,1738.200466027321,1968.570466027321,2651.225744380994,2.651225744381,1.515892416034,2.855984714893,1592.380560873993,1.584678099784,60.091743119266,1.375648329912,12.161585983399,28.426605504587,102651.225744380994,"{'TAKE_PROFIT': 146, 'STOP_LOSS': 28, 'FORCED_EOD': 27, 'TIME_STOP': 17}"
66,0.007397959184,winner_q0.975,winner_q0.975,True,132,132,100.000000000000,100.000000000000,127,96.212121212121,95.454545454545,250,96960,218,4598.216310408225,230.370000000000,1738.209214607332,1968.579214607332,2629.637095800965,2.629637095801,1.507595840366,2.816128981503,1639.744731813975,1.631130096003,59.633027522936,1.368907501693,12.062555485325,28.743119266055,102629.637095800965,"{'TAKE_PROFIT': 153, 'STOP_LOSS': 28, 'FORCED_EOD': 27, 'TIME_STOP': 10}"
118,0.007397959184,winner_q0.99+winner_q1.0,winner_q0.975,True,132,132,100.000000000000,100.000000000000,128,96.969696969697,96.969696969697,250,96960,218,4257.463446377613,230.370000000000,1738.210338380141,1968.580338380141,2288.883107997550,2.288883107998,1.335405880016,2.452503750623,1641.416310960922,1.633344273708,59.174311926606,1.322673979664,10.499463798154,30.178899082569,102288.883107997550,"{'TAKE_PROFIT': 159, 'STOP_LOSS': 30, 'FORCED_EOD': 28, 'TIME_STOP': 1}"
118,0.007212847033,winner_q0.99+winner_q1.0,independently_fitted_95pct,True,132,132,100.000000000000,100.000000000000,126,95.454545454545,95.454545454545,250,96960,218,3878.344652776309,230.370000000000,1738.113839043229,1968.483839043229,1909.860813733132,1.909860813733,1.111931741211,2.024321508261,2002.002604129302,1.993035250255,58.256880733945,1.256811951035,8.760829420794,29.642201834862,101909.860813733132,"{'TAKE_PROFIT': 156, 'STOP_LOSS': 34, 'FORCED_EOD': 27, 'TIME_STOP': 1}"
61,0.007212847033,winner_q0.95+independently_fitted_95pct,independently_fitted_95pct,False,132,132,100.000000000000,100.000000000000,125,94.696969696970,90.909090909091,250,96960,218,4233.291079368576,230.370000000000,1738.105443957895,1968.475443957895,2264.815635410749,2.264815635411,1.291120579457,2.409059607394,1932.043688551712,1.924087990565,59.174311926606,1.305707390406,10.389062547755,27.917431192661,102264.815635410749,"{'TAKE_PROFIT': 143, 'STOP_LOSS': 32, 'FORCED_EOD': 26, 'TIME_STOP': 17}"
66,0.007212847033,winner_q0.975,independently_fitted_95pct,False,132,132,100.000000000000,100.000000000000,125,94.696969696970,93.939393939394,250,96960,218,4205.388544638036,230.370000000000,1738.115457064855,1968.485457064854,2236.903087573228,2.236903087573,1.278279216398,2.363381968663,1999.031918249195,1.989703001498,58.715596330275,1.298843154336,10.261023337492,28.229357798165,102236.903087573228,"{'TAKE_PROFIT': 150, 'STOP_LOSS': 33, 'FORCED_EOD': 26, 'TIME_STOP': 9}"
61,0.007080038008,winner_q0.95+independently_fitted_95pct,winner_q0.95,False,132,132,100.000000000000,100.000000000000,124,93.939393939394,90.151515151515,250,96960,218,3948.141161737718,230.370000000000,1738.035699981945,1968.405699981945,1979.735461755889,1.979735461756,1.112433111026,2.011444758318,2206.849992304808,2.198393400445,58.715596330275,1.262044023468,9.081355329155,27.720183486239,101979.735461755889,"{'TAKE_PROFIT': 140, 'STOP_LOSS': 35, 'FORCED_EOD': 26, 'TIME_STOP': 17}"
66,0.007080038008,winner_q0.975,winner_q0.95,False,132,132,100.000000000000,100.000000000000,124,93.939393939394,93.181818181818,250,96960,218,3922.887178963422,230.370000000000,1738.045183378511,1968.415183378511,1954.471995585016,1.954471995585,1.101011772233,1.974488727028,2271.189140335642,2.261238508067,58.256880733945,1.256186817007,8.965467869656,28.032110091743,101954.471995585016,"{'TAKE_PROFIT': 147, 'STOP_LOSS': 36, 'FORCED_EOD': 26, 'TIME_STOP': 9}"
118,0.007080038008,winner_q0.99+winner_q1.0,winner_q0.95,False,132,132,100.000000000000,100.000000000000,125,94.696969696970,94.696969696970,250,96960,218,3598.494075429116,230.370000000000,1738.043035199216,1968.413035199216,1630.081040230012,1.630081040230,0.935728959315,1.653270250960,2271.508507730658,2.261982686055,57.798165137615,1.215105991368,7.477435964357,29.389908256881,101630.081040230012,"{'TAKE_PROFIT': 153, 'STOP_LOSS': 37, 'FORCED_EOD': 27, 'TIME_STOP': 1}"
