entry_mode,abs_threshold_usd,anchor_filter,trades,net_pnl,gross_pnl,costs,net_return_pct,net_sharpe,net_sortino,max_drawdown_pct,win_rate_pct,profit_factor,avg_net_trade,median_net_trade,avg_duration,long_net_pnl,short_net_pnl,eligible
z_or_abs,6.0,False,241,3925.0758886602434,6101.804300000014,2176.728411339771,3.9250758886602433,2.128025083918753,3.8716925949849474,1.2397303981199803,59.75103734439834,1.5939634823335407,16.286621944648314,12.278328560003287,32.04979253112033,3274.3840038401463,650.6918848200975,True
z_or_abs,7.5,False,220,3669.29053588025,5656.125800000036,1986.8352641197862,3.66929053588025,2.072110959362822,3.6957045215176083,1.2397303981199803,60.909090909090914,1.5849568517516668,16.678593344910226,15.139531500002912,34.22727272727273,3018.598651060153,650.6918848200975,True
z_only,,False,218,3379.037249380247,5347.718300000034,1968.6810506197871,3.379037249380247,1.9223100502006794,3.374724251906447,1.2397303981199803,60.550458715596335,1.5386847871600617,15.50017086871673,14.761814999999729,34.481651376146786,2728.3453645601494,650.6918848200975,True
z_or_abs,10.0,False,218,3379.037249380247,5347.718300000034,1968.6810506197871,3.379037249380247,1.9223100502006794,3.374724251906447,1.2397303981199803,60.550458715596335,1.5386847871600617,15.50017086871673,14.761814999999729,34.481651376146786,2728.3453645601494,650.6918848200975,True
z_or_abs,5.0,False,309,4474.520680400317,7268.635000000038,2794.114319599721,4.4745206804003175,1.7361335688347146,3.403229714283121,1.7734477005198714,57.92880258899677,1.5228469562296925,14.480649451133713,8.846555999999605,27.071197411003237,2200.925857400188,2273.594823000129,True
z_or_abs,4.0,False,469,2659.671854040471,6896.482800000042,4236.810945959571,2.6596718540404707,1.169780910066335,1.7261949651822925,2.771352800799708,51.59914712153518,1.231694885618829,5.670942119489277,1.9311999999990785,20.405117270788914,1599.6114108002619,1060.060443240211,True
z_or_abs,6.0,True,144,1607.8138069001552,2907.876900000013,1300.0630930998577,1.6078138069001553,1.1018374653024308,1.6906969864940435,1.4416595267199737,56.94444444444444,1.3290973056939552,11.165373659028855,5.49892250999831,31.4375,1815.063662180087,-207.24985527993198,True
z_or_abs,5.0,True,210,2362.1590687402295,4261.348100000038,1899.1890312598089,2.3621590687402296,1.0911596483069799,1.88508255727578,1.6739508345798824,56.19047619047619,1.3526841251088264,11.248376517810616,5.452629000000192,24.580952380952382,946.505985840129,1415.6530829001,True
z_or_abs,7.5,True,123,1352.0284541201622,2462.1984000000334,1110.1699458798712,1.3520284541201621,0.9915734378392931,1.456008511526301,1.4416595267199737,58.536585365853654,1.2971489047362663,10.99210125300945,12.278328560003287,35.22764227642276,1559.278309400094,-207.24985527993198,True
abs_only,5.0,True,93,1649.7691811200739,2493.257200000009,843.4880188799352,1.649769181120074,0.9565609182368284,1.9797870820440457,1.4710417104199587,53.76344086021505,1.7218158089523612,17.739453560430903,3.635972999999229,10.0,26.866242940042014,1622.9029381800317,True
abs_only,5.0,False,96,1441.644022020074,2312.5317000000055,870.8876779799314,1.4416440220200741,0.8342593650087984,1.7101914822764,1.6478827877799342,51.041666666666664,1.5941526070314662,15.017125229375772,0.7936728999979357,10.25,-181.25891615995775,1622.9029381800317,True
