date,equity,drawdown_pct,period
2026-01-02,100000.0,0.0,2026_ytd
2026-01-05,99872.70703000002,0.1272929699999804,2026_ytd
2026-01-06,99872.70703000002,0.1272929699999804,2026_ytd
2026-01-07,99872.70703000002,0.1272929699999804,2026_ytd
2026-01-08,99872.70703000002,0.1272929699999804,2026_ytd
2026-01-09,99884.48917983999,0.11551082016000873,2026_ytd
2026-01-12,99821.59575683999,0.1784042431600101,2026_ytd
2026-01-13,99821.59575683999,0.1784042431600101,2026_ytd
2026-01-14,99821.59575683999,0.1784042431600101,2026_ytd
2026-01-15,99811.80983684,0.1881901631600049,2026_ytd
2026-01-16,99811.80983684,0.1881901631600049,2026_ytd
2026-01-20,99908.53124528,0.09146875472000102,2026_ytd
2026-01-21,100103.57475528002,0.0,2026_ytd
2026-01-22,100103.57475528002,0.0,2026_ytd
2026-01-23,100103.57475528002,0.0,2026_ytd
2026-01-26,100103.57475528002,0.0,2026_ytd
2026-01-27,100103.57475528002,0.0,2026_ytd
2026-01-28,100103.57475528002,0.0,2026_ytd
2026-01-29,100090.00831828002,0.013552400134727203,2026_ytd
2026-01-30,100319.49563832002,0.0,2026_ytd
2026-02-02,100319.49563832002,0.0,2026_ytd
2026-02-03,100319.49563832002,0.0,2026_ytd
2026-02-04,100319.49563832002,0.0,2026_ytd
2026-02-05,100344.36188832001,0.0,2026_ytd
2026-02-06,100353.30184532,0.0,2026_ytd
2026-02-09,100372.18418931999,0.0,2026_ytd
2026-02-10,100395.01916932003,0.0,2026_ytd
2026-02-11,100395.01916932003,0.0,2026_ytd
2026-02-12,100397.34586432003,0.0,2026_ytd
2026-02-13,100358.64944732003,0.0385432669229072,2026_ytd
2026-02-17,99938.02800432002,0.45750000266017593,2026_ytd
2026-02-18,99972.21756232003,0.4234457577937652,2026_ytd
2026-02-19,99915.83383032001,0.47960633805075253,2026_ytd
2026-02-20,99915.83383032001,0.47960633805075253,2026_ytd
2026-02-23,99915.83383032001,0.47960633805075253,2026_ytd
2026-02-24,99883.99539732005,0.5113187630415441,2026_ytd
2026-02-25,99889.89298932001,0.5054445121346178,2026_ytd
2026-02-26,99889.89298932001,0.5054445121346178,2026_ytd
2026-02-27,99916.67729154002,0.478766215024844,2026_ytd
2026-03-02,99916.67729154002,0.478766215024844,2026_ytd
2026-03-03,99854.08355154001,0.5411122257297507,2026_ytd
2026-03-04,99854.08355154001,0.5411122257297507,2026_ytd
2026-03-05,99854.08355154001,0.5411122257297507,2026_ytd
2026-03-06,99788.37657762002,0.606559149006779,2026_ytd
2026-03-09,99846.21845562002,0.5489461937019885,2026_ytd
2026-03-10,99861.58654462002,0.5336389274912214,2026_ytd
2026-03-11,99861.58654462002,0.5336389274912214,2026_ytd
2026-03-12,99847.93767362,0.5472337799073976,2026_ytd
2026-03-13,99847.93767362,0.5472337799073976,2026_ytd
2026-03-16,99847.93767362,0.5472337799073976,2026_ytd
2026-03-17,99847.93767362,0.5472337799073976,2026_ytd
2026-03-18,99847.93767362,0.5472337799073976,2026_ytd
2026-03-19,99960.39177362001,0.43522474318248605,2026_ytd
2026-03-20,99731.07587162,0.6636330741257228,2026_ytd
2026-03-23,99703.95960062,0.6906420261717778,2026_ytd
2026-03-24,99703.95960062,0.6906420261717778,2026_ytd
2026-03-25,99818.0503724,0.5770027951763831,2026_ytd
2026-03-26,99818.0503724,0.5770027951763831,2026_ytd
2026-03-27,99795.64933878,0.5993151714918629,2026_ytd
2026-03-30,99799.44217878001,0.5955373425389592,2026_ytd
2026-03-31,99799.44217878001,0.5955373425389592,2026_ytd
2026-04-01,99660.70633006,0.7337241118460907,2026_ytd
2026-04-02,99660.70633006,0.7337241118460907,2026_ytd
2026-04-06,99630.84468845997,0.7634675690490186,2026_ytd
2026-04-07,99630.84468845997,0.7634675690490186,2026_ytd
2026-04-08,99630.84468845997,0.7634675690490186,2026_ytd
2026-04-09,99630.84468845997,0.7634675690490186,2026_ytd
2026-04-10,99630.84468845997,0.7634675690490186,2026_ytd
2026-04-13,99630.84468845997,0.7634675690490186,2026_ytd
2026-04-14,99630.84468845997,0.7634675690490186,2026_ytd
2026-04-15,99630.84468845997,0.7634675690490186,2026_ytd
2026-04-16,99641.20968845996,0.7531435909490414,2026_ytd
2026-04-17,99604.82342645997,0.7893858458480494,2026_ytd
2026-04-20,99560.16462645997,0.8338678982524603,2026_ytd
2026-04-21,99560.16462645997,0.8338678982524603,2026_ytd
