date,equity,drawdown_pct,period
2026-08-03,99984.62943999999,0.015370560000010301,august_2026
2026-08-04,100078.56354,0.0,august_2026
2026-08-05,100078.56354,0.0,august_2026
2026-08-06,100078.56354,0.0,august_2026
2026-08-07,100078.95514712,0.0,august_2026
2026-08-10,100044.84508022002,0.0340831564936189,august_2026
2026-08-11,100044.84508022002,0.0340831564936189,august_2026
2026-08-12,100079.39834588004,0.0,august_2026
2026-08-13,100020.03481188003,0.05931643772961143,august_2026
2026-08-14,100020.03481188003,0.05931643772961143,august_2026
2026-08-17,100020.03481188003,0.05931643772961143,august_2026
2026-08-18,100027.23922188004,0.05211774337384913,august_2026
2026-08-19,100027.23922188004,0.05211774337384913,august_2026
2026-08-20,100027.23922188004,0.05211774337384913,august_2026
2026-08-21,100027.23922188004,0.05211774337384913,august_2026
