timestamp,equity,running_peak,drawdown_usd,drawdown_pct,gross_exposure_usd,gross_leverage
2025-08-22 09:30:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:31:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:32:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:33:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:34:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:35:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:36:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:37:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:38:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:39:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:40:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:41:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:42:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:43:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:44:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:45:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:46:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:47:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:48:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:49:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:50:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:51:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:52:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:53:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:54:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:55:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:56:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:57:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:58:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 09:59:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 10:00:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2025-08-22 10:01:00-04:00,100018.8514800000,100018.8514800000,0.0000000000,0.0000000000,9964.5925200000,0.0996459252
2025-08-22 10:02:00-04:00,100014.4277300000,100018.8514800000,4.4237500000,0.0044229162,9964.5925200000,0.0996459252
2025-08-22 10:03:00-04:00,100043.7164800000,100043.7164800000,0.0000000000,0.0000000000,9964.5925200000,0.0996459252
2025-08-22 10:04:00-04:00,100029.5664800000,100043.7164800000,14.1500000000,0.0141438168,9964.5925200000,0.0996459252
2025-08-22 10:05:00-04:00,100054.1239800000,100054.1239800000,0.0000000000,0.0000000000,9964.5925200000,0.0996459252
2025-08-22 10:06:00-04:00,100060.2327300000,100060.2327300000,0.0000000000,0.0000000000,9964.5925200000,0.0996459252
2025-08-22 10:07:00-04:00,100057.2477300000,100060.2327300000,2.9850000000,0.0029832031,9964.5925200000,0.0996459252
2025-08-22 10:08:00-04:00,100086.4664745000,100086.4664745000,0.0000000000,0.0000000000,4999.5097020000,0.0499950970
2025-08-22 10:09:00-04:00,100084.6514745000,100086.4664745000,1.8150000000,0.0018134320,4999.5097020000,0.0499950970
2025-08-22 10:10:00-04:00,100083.4414745000,100086.4664745000,3.0250000000,0.0030223866,4999.5097020000,0.0499950970
2025-08-22 10:11:00-04:00,100058.0314745000,100086.4664745000,28.4350000000,0.0284104345,4999.5097020000,0.0499950970
2025-08-22 10:12:00-04:00,100075.8789745000,100086.4664745000,10.5875000000,0.0105783533,4999.5097020000,0.0499950970
2025-08-22 10:13:00-04:00,100083.1389745000,100086.4664745000,3.3275000000,0.0033246253,4999.5097020000,0.0499950970
2025-08-22 10:14:00-04:00,100092.5951245000,100092.5951245000,0.0000000000,0.0000000000,4999.5097020000,0.0499950970
2025-08-22 10:15:00-04:00,100104.6164745000,100104.6164745000,0.0000000000,0.0000000000,4999.5097020000,0.0499950970
2025-08-22 10:16:00-04:00,100105.8264745000,100105.8264745000,0.0000000000,0.0000000000,4999.5097020000,0.0499950970
2025-08-22 10:17:00-04:00,100088.5718745000,100105.8264745000,17.2546000000,0.0172363594,4999.5097020000,0.0499950970
2025-08-22 10:18:00-04:00,100081.0214745000,100105.8264745000,24.8050000000,0.0247787775,4999.5097020000,0.0499950970
2025-08-22 10:19:00-04:00,100072.2489745000,100105.8264745000,33.5775000000,0.0335420037,4999.5097020000,0.0499950970
2025-08-22 10:20:00-04:00,100057.4264745000,100105.8264745000,48.4000000000,0.0483488341,4999.5097020000,0.0499950970
2025-08-22 10:21:00-04:00,100050.7714745000,100105.8264745000,55.0550000000,0.0549967988,4999.5097020000,0.0499950970
2025-08-22 10:22:00-04:00,100034.7389745000,100105.8264745000,71.0875000000,0.0710123501,4999.5097020000,0.0499950970
2025-08-22 10:23:00-04:00,100040.1839745000,100105.8264745000,65.6425000000,0.0655731063,4999.5097020000,0.0499950970
2025-08-22 10:24:00-04:00,100060.1489745000,100105.8264745000,45.6775000000,0.0456292122,4999.5097020000,0.0499950970
2025-08-22 10:25:00-04:00,100071.9646245000,100105.8264745000,33.8618500000,0.0338260531,4999.5097020000,0.0499950970
2025-08-22 10:26:00-04:00,100061.3589745000,100105.8264745000,44.4675000000,0.0444204914,4999.5097020000,0.0499950970
2025-08-22 10:27:00-04:00,100043.8139745000,100105.8264745000,62.0125000000,0.0619469437,4999.5097020000,0.0499950970
2025-08-22 10:28:00-04:00,100056.8214745000,100105.8264745000,49.0050000000,0.0489531946,4999.5097020000,0.0499950970
2025-08-22 10:29:00-04:00,100072.2489745000,100105.8264745000,33.5775000000,0.0335420037,4999.5097020000,0.0499950970
2025-08-22 10:30:00-04:00,100077.9964745000,100105.8264745000,27.8300000000,0.0278005796,4999.5097020000,0.0499950970
2025-08-22 10:31:00-04:00,100082.5339745000,100105.8264745000,23.2925000000,0.0232678764,4999.5097020000,0.0499950970
