stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,block
0.2500000000,0.2500000000,21.0000000000,8190.0000000000,134.0000000000,21.0000000000,-110.0100000000,1145.5476104799,79.4990000000,1066.0486104799,-1255.5576104799,806.0626048001,-2061.6202152799,47.7611940299,0.3909850121,-11.3085941426,1311.0090341599,-0.9577032482,30.4277668914,30.6076742400,551.7750012000,1647.3020229000,69.0000000000,64.0000000000,1.0000000000,0
0.2500000000,0.5000000000,21.0000000000,8190.0000000000,124.0000000000,21.0000000000,-84.3500000000,1060.0452425199,73.5140000000,986.5312425199,-1144.3952425199,1305.3181368000,-2449.7133793199,32.2580645161,0.5328452495,-10.0434811084,1144.3952425198,-1.0000000000,30.4624106057,30.6076742400,481.4904612000,1690.0771729000,82.0000000000,38.0000000000,4.0000000000,0
0.2500000000,0.7500000000,21.0000000000,8190.0000000000,115.0000000000,21.0000000000,33.8200000000,982.7919298799,68.0890000000,914.7029298799,-948.9719298799,1498.8374520800,-2447.8093819599,26.9565217391,0.6123178803,-8.7917128232,994.8812748399,-0.9538544486,30.4831823333,30.6178400000,449.3586248000,1602.3096229000,82.0000000000,25.0000000000,8.0000000000,0
0.2500000000,1.0000000000,21.0000000000,8190.0000000000,106.0000000000,21.0000000000,191.7700000000,905.8270461599,62.7900000000,843.0370461599,-714.0570461599,1609.2959949600,-2323.3530411199,25.4716981132,0.6926609803,-7.0673601124,872.9433344399,-0.8179878556,30.4823123333,30.6178400000,404.5417598000,1643.5678729000,78.0000000000,19.0000000000,9.0000000000,0
0.2500000000,1.2500000000,21.0000000000,8190.0000000000,104.0000000000,21.0000000000,333.1900000000,888.8230861599,61.6350000000,827.1880861599,-555.6330861599,1767.7757989600,-2323.4088851199,24.0384615385,0.7608543680,-4.4577877566,752.8236670800,-0.7380653803,30.4823123333,30.6178400000,378.5369618000,1437.2766229000,78.0000000000,15.0000000000,11.0000000000,0
0.2500000000,1.5000000000,21.0000000000,8190.0000000000,97.0000000000,21.0000000000,-48.5450000000,829.0043525999,57.4630000000,771.5413525999,-877.5493525999,1414.7355105200,-2292.2848631199,19.5876288660,0.6171726443,-7.2493139538,968.2891102399,-0.9062885695,30.5066272000,30.6178400000,378.5369618000,1437.2766229000,77.0000000000,8.0000000000,12.0000000000,0
0.2500000000,1.7500000000,21.0000000000,8190.0000000000,95.0000000000,21.0000000000,50.9438000000,811.8918103599,56.2870000000,755.6048103599,-760.9480103599,1472.2294127600,-2233.1774231199,20.0000000000,0.6592532226,-6.3351855565,831.6847162799,-0.9149476905,30.5066272000,30.6178400000,378.5369618000,1437.2766229000,75.0000000000,5.0000000000,15.0000000000,0
0.2500000000,2.0000000000,21.0000000000,8190.0000000000,91.0000000000,21.0000000000,139.7688000000,777.6264893599,53.9000000000,723.7264893599,-637.8576893599,1475.7796277600,-2113.6373171200,20.8791208791,0.6982180035,-5.4052264267,681.6268429999,-0.9357872213,30.5025904000,30.6178400000,378.5369618000,1437.2766229000,71.0000000000,4.0000000000,16.0000000000,0
0.2500000000,2.2500000000,21.0000000000,8190.0000000000,89.0000000000,21.0000000000,142.3688000000,760.4573413599,52.7240000000,707.7333413599,-618.0885413599,1465.9713677600,-2084.0599091200,20.2247191011,0.7034209340,-5.3469344158,661.8576949999,-0.9338692381,30.5025904000,30.6178400000,378.5369618000,1437.2766229000,70.0000000000,3.0000000000,16.0000000000,0
0.2500000000,2.5000000000,21.0000000000,8190.0000000000,89.0000000000,21.0000000000,205.8688000000,760.4617413599,52.7240000000,707.7377413599,-554.5929413599,1529.4669677600,-2084.0599091200,20.2247191011,0.7338881963,-4.5868427017,598.3620949999,-0.9268517274,30.5025904000,30.6178400000,378.5369618000,1437.2766229000,70.0000000000,3.0000000000,16.0000000000,0
0.2500000000,2.7500000000,21.0000000000,8190.0000000000,86.0000000000,21.0000000000,196.2788000000,734.7525113599,50.9460000000,683.8065113599,-538.4737113599,1486.7491397600,-2025.2228511200,19.7674418605,0.7341163166,-3.9101522379,635.3049342800,-0.8475830775,30.5025904000,30.6178400000,378.5369618000,1437.2766229000,68.0000000000,2.0000000000,16.0000000000,0
