stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,total_pnl,mean_block_pnl,median_block_pnl,se_mean_block_pnl,positive_blocks,agg_trades,agg_active_days,agg_costs,agg_clipped,viable,pareto,cluster_mean_block_pnl,cluster_pnl_over_dd,cluster_cvar5_loss_usd,cluster_worst_loss_usd,cluster_agg_clipped,viable_neighbor_count,neighbor_ids,viable_neighbor_ids,stable_pareto,one_se,is_current,selected_candidate,candidate_fold_anchored_count,candidate_fold_rolling_count
0.2500000000,0.2500000000,188.0000000000,72960.0000000000,1940.0000000000,186.0000000000,-1871.9850000000,16156.2494251983,769.4750000000,15386.7744251983,-18028.2344251983,5274.0455706408,-23302.2799958391,46.1855670103,0.2263317397,-20.3254710264,18031.9318651985,-0.9997949504,24.5817763439,25.4321360000,23229.3162789801,19659.2515701400,1036.0000000000,896.0000000000,8.0000000000,-18028.2344251983,-2003.1371583554,-1937.8221159998,92.5194857678,0,1940.0000000000,186.0000000000,16156.2494251983,23229.3162789801,False,False,,,,,,0,,,False,False,False,False,3,0
0.2500000000,0.5000000000,188.0000000000,72960.0000000000,1714.0000000000,186.0000000000,312.8650000000,14273.9555669185,679.9100000000,13594.0455669184,-13961.0905669184,11486.3633350405,-25447.4539019590,33.6056009335,0.4513757400,-14.2464297049,13976.7904069184,-0.9988767207,24.8274584712,28.4089800000,22600.7308644201,19780.9014301400,1129.0000000000,570.0000000000,15.0000000000,-13961.0905669184,-1551.2322852132,-1515.0393109198,74.0798173357,0,1714.0000000000,186.0000000000,14273.9555669184,22600.7308644201,False,False,,,,,,0,,,False,False,False,False,3,0
0.2500000000,0.7500000000,188.0000000000,72960.0000000000,1609.0000000000,186.0000000000,1181.7624000000,13399.8988337586,638.3300000000,12761.5688337586,-12218.1364337586,14270.0497982003,-26488.1862319590,26.2274704786,0.5387326136,-11.4088454143,12256.4548314787,-0.9968736149,24.9004486484,28.4089800000,22227.8230444201,19793.3399861400,1174.0000000000,411.0000000000,24.0000000000,-12218.1364337586,-1357.5707148621,-1287.0044449598,88.7882960329,0,1609.0000000000,186.0000000000,13399.8988337586,22227.8230444201,False,False,,,,,,0,,,False,False,False,False,3,0
0.2500000000,1.0000000000,188.0000000000,72960.0000000000,1574.0000000000,186.0000000000,977.1444000000,13108.1580535187,624.1620000000,12483.9960535187,-12131.0136535187,15584.9441264803,-27715.9577799990,21.1562897078,0.5623094194,-10.3326725459,12241.7222912387,-0.9909564492,24.9391519114,28.4089800000,22046.4240094601,19625.8464861400,1229.0000000000,317.0000000000,28.0000000000,-12131.0136535186,-1347.8904059465,-1269.8090147999,89.5910264201,0,1574.0000000000,186.0000000000,13108.1580535187,22046.4240094601,False,False,,,,,,0,,,False,False,False,False,3,0
0.2500000000,1.2500000000,188.0000000000,72960.0000000000,1550.0000000000,186.0000000000,1030.5674000000,12908.3697262787,614.9570000000,12293.4127262787,-11877.8023262787,16525.3328093602,-28403.1351356390,18.0000000000,0.5818136882,-9.0897166278,12039.8471940388,-0.9865409531,24.9566857308,28.4089800000,21735.7123074601,19786.9059301400,1259.0000000000,258.0000000000,33.0000000000,-11877.8023262787,-1319.7558140310,-1359.9310250799,110.9133152756,0,1550.0000000000,186.0000000000,12908.3697262787,21735.7123074601,False,False,,,,,,0,,,False,False,False,False,3,0
0.2500000000,1.5000000000,188.0000000000,72960.0000000000,1530.0000000000,186.0000000000,1377.0344000000,12741.6732548787,607.1240000000,12134.5492548787,-11364.6388548787,17375.5961570402,-28740.2350119190,15.9477124183,0.6045739066,-8.2609175144,11416.8583908787,-0.9954261029,24.9737828255,28.4089800000,21466.0923654601,19806.1862801400,1274.0000000000,217.0000000000,39.0000000000,-11364.6388548787,-1262.7376505421,-1125.1381670799,124.2214268286,0,1530.0000000000,186.0000000000,12741.6732548787,21466.0923654601,False,False,,,,,,0,,,False,False,False,False,3,0
0.2500000000,1.7500000000,188.0000000000,72960.0000000000,1515.0000000000,186.0000000000,1700.2742000000,12616.7475528387,601.3000000000,12015.4475528387,-10916.4733528387,18024.8959721202,-28941.3693249589,14.5214521452,0.6228072960,-7.9119238742,10949.2116088388,-0.9970099897,24.9813797574,28.4089800000,21430.3939094601,19761.9329301400,1282.0000000000,188.0000000000,45.0000000000,-10916.4733528387,-1212.9414836487,-1389.7548615599,149.0521533493,0,1515.0000000000,186.0000000000,12616.7475528387,21430.3939094601,False,False,,,,,,0,,,False,False,False,False,3,0
0.2500000000,2.0000000000,188.0000000000,72960.0000000000,1499.0000000000,186.0000000000,2459.8902000000,12483.5088411987,594.9090000000,11888.5998411987,-10023.6186411988,18890.4820605202,-28914.1007017189,13.6757838559,0.6533311292,-6.7208706139,10045.3183169587,-0.9978398220,24.9789842075,28.4089800000,21166.4180094601,19682.6749801400,1281.0000000000,166.0000000000,52.0000000000,-10023.6186411987,-1113.7354045776,-1403.6724048798,188.0873411419,0,1499.0000000000,186.0000000000,12483.5088411987,21166.4180094601,False,False,,,,,,0,,,False,False,False,False,3,0
0.2500000000,2.2500000000,188.0000000000,72960.0000000000,1485.0000000000,186.0000000000,2776.7552000000,12367.3225969188,589.5750000000,11777.7475969188,-9590.5673969188,19344.7915235202,-28935.3589204390,12.7946127946,0.6685519809,-6.1270937942,9703.9264133588,-0.9883182321,24.9688998784,28.4089800000,20986.2247594601,19265.8699301400,1282.0000000000,147.0000000000,56.0000000000,-9590.5673969187,-1065.6185996576,-1311.1069904798,199.3336761535,0,1485.0000000000,186.0000000000,12367.3225969187,20986.2247594601,False,False,,,,,,0,,,False,False,False,False,3,0
0.2500000000,2.5000000000,188.0000000000,72960.0000000000,1461.0000000000,186.0000000000,1884.7775000000,12166.9260078188,580.0760000000,11586.8500078188,-10282.1485078188,18566.7427904602,-28848.8912982790,11.6358658453,0.6435860082,-6.4862688888,10487.1661922587,-0.9804506117,24.9544059038,28.4089800000,20788.4118482601,19171.3953301400,1278.0000000000,123.0000000000,60.0000000000,-10282.1485078188,-1142.4609453132,-1330.6779184798,214.7770031740,0,1461.0000000000,186.0000000000,12166.9260078188,20788.4118482601,False,False,,,,,,0,,,False,False,False,False,3,0
