stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,total_pnl,mean_block_pnl,median_block_pnl,se_mean_block_pnl,positive_blocks,agg_trades,agg_active_days,agg_costs,agg_clipped,viable,pareto,cluster_mean_block_pnl,cluster_pnl_over_dd,cluster_cvar5_loss_usd,cluster_worst_loss_usd,cluster_agg_clipped,viable_neighbor_count,neighbor_ids,viable_neighbor_ids,stable_pareto,one_se,is_current,selected_candidate,candidate_fold_anchored_count,candidate_fold_rolling_count
0.2500000000,0.2500000000,188.0000000000,72960.0000000000,1712.0000000000,187.0000000000,-1476.4742000000,14064.9522675184,524.5870000000,13540.3652675184,-15541.4264675184,2158.3709886807,-17699.7974561991,45.7359813084,0.1219432592,-22.6473649726,15548.5190495186,-0.9995438420,21.4959270037,22.1384900000,10207.8156060201,7417.8943425800,921.0000000000,783.0000000000,8.0000000000,-15541.4264675184,-1726.8251630576,-1720.2372897198,115.0911316126,0,1712.0000000000,187.0000000000,14064.9522675184,10207.8156060201,False,False,,,,,,0,,,False,False,False,False,0,0
0.2500000000,0.5000000000,188.0000000000,72960.0000000000,1545.0000000000,187.0000000000,-1214.4042000000,12693.4083416786,473.5080000000,12219.9003416786,-13907.8125416786,6471.4630829604,-20379.2756246390,30.7443365696,0.3175511830,-19.0015194855,13966.6987256789,-0.9957838151,21.6637698708,22.1384900000,9820.0131541401,7184.1383925800,1058.0000000000,471.0000000000,16.0000000000,-13907.8125416786,-1545.3125046310,-1570.8468537198,125.4179458053,0,1545.0000000000,187.0000000000,12693.4083416786,9820.0131541401,False,False,,,,,,0,,,False,False,False,False,0,0
0.2500000000,0.7500000000,188.0000000000,72960.0000000000,1500.0000000000,187.0000000000,-1364.6822000000,12324.1531174387,460.1730000000,11863.9801174387,-13688.8353174387,8321.1352458803,-22009.9705633190,22.8666666667,0.3780620797,-16.8995053771,13761.3283934990,-0.9947321164,21.7125198123,22.1384900000,9661.5739161401,7182.8551425800,1140.0000000000,333.0000000000,27.0000000000,-13688.8353174387,-1520.9817019376,-1507.7877493598,121.4234288092,0,1500.0000000000,187.0000000000,12324.1531174387,9661.5739161401,False,False,,,,,,0,,,False,False,False,False,0,0
0.2500000000,1.0000000000,188.0000000000,72960.0000000000,1471.0000000000,187.0000000000,-1456.6156000000,12086.1733469987,451.4370000000,11634.7363469987,-13542.7889469987,9232.6630904802,-22775.4520374789,18.6267845003,0.4053778197,-15.0691821035,13700.8441289390,-0.9884638362,21.7195909141,22.1384900000,9415.8130621401,7107.5050185800,1179.0000000000,248.0000000000,44.0000000000,-13542.7889469987,-1504.7543274443,-1376.2911201399,123.8533340443,0,1471.0000000000,187.0000000000,12086.1733469987,9415.8130621401,False,False,,,,,,0,,,False,False,False,False,0,0
0.2500000000,1.2500000000,188.0000000000,72960.0000000000,1440.0000000000,187.0000000000,-1866.8606000000,11831.7611439187,442.1620000000,11389.5991439187,-13698.6217439187,9446.8753086002,-23145.4970525189,15.5555555556,0.4081517579,-14.1481736971,13958.6840258588,-0.9813691404,21.7295802450,22.1384900000,9372.3567339801,7138.0137185800,1198.0000000000,193.0000000000,49.0000000000,-13698.6217439187,-1522.0690826576,-1458.5055441399,140.1752469380,0,1440.0000000000,187.0000000000,11831.7611439187,9372.3567339801,False,False,,,,,,0,,,False,False,False,False,0,0
0.2500000000,1.5000000000,188.0000000000,72960.0000000000,1422.0000000000,187.0000000000,-1332.2676000000,11684.0090490787,436.5970000000,11247.4120490787,-13016.2766490787,10223.0444265202,-23239.3210755989,14.1350210970,0.4399028867,-12.1073264884,13355.9636140189,-0.9745666449,21.7424912983,22.1384900000,9224.6376579801,7158.0245185800,1203.0000000000,166.0000000000,53.0000000000,-13016.2766490787,-1446.2529610087,-1369.5421354398,152.4290014027,0,1422.0000000000,187.0000000000,11684.0090490787,9224.6376579801,False,False,,,,,,0,,,False,False,False,False,0,0
0.2500000000,1.7500000000,188.0000000000,72960.0000000000,1391.0000000000,187.0000000000,-1243.1026000000,11430.0504123187,427.6230000000,11002.4274123187,-12673.1530123188,10376.2057195201,-23049.3587318389,13.0841121495,0.4501732929,-11.2284501458,13104.8516772589,-0.9670581037,21.7496473051,22.1384900000,9191.0537889801,7061.5586185800,1192.0000000000,140.0000000000,59.0000000000,-12673.1530123187,-1408.1281124799,-1265.5069946399,142.7198762012,0,1391.0000000000,187.0000000000,11430.0504123187,9191.0537889801,False,False,,,,,,0,,,False,False,False,False,0,0
0.2500000000,2.0000000000,188.0000000000,72960.0000000000,1348.0000000000,187.0000000000,-1718.5526000000,11075.3746343188,413.9170000000,10661.4576343188,-12793.9272343188,9858.1092440001,-22652.0364783189,11.8694362018,0.4351974823,-11.0004753281,13255.6192922589,-0.9651700877,21.7584978435,22.1384900000,9185.1495805001,6895.7665685800,1173.0000000000,110.0000000000,65.0000000000,-12793.9272343188,-1421.5474704799,-1420.3195669999,138.1929874922,0,1348.0000000000,187.0000000000,11075.3746343188,9185.1495805001,False,False,,,,,,0,,,False,False,False,False,0,0
0.2500000000,2.2500000000,188.0000000000,72960.0000000000,1317.0000000000,187.0000000000,-1927.2226000000,10821.0479753988,404.3900000000,10416.6579753988,-12748.2705753988,9535.9120977601,-22284.1826731589,11.2376613516,0.4279229011,-10.8614464401,13121.5240133390,-0.9715541093,21.7603176570,22.1384900000,9248.2779525001,6835.0335185800,1154.0000000000,88.0000000000,75.0000000000,-12748.2705753988,-1416.4745083776,-1393.6915264798,141.0476914851,0,1317.0000000000,187.0000000000,10821.0479753988,9248.2779525001,False,False,,,,,,0,,,False,False,False,False,0,0
0.2500000000,2.5000000000,188.0000000000,72960.0000000000,1299.0000000000,187.0000000000,-1488.4976000000,10672.3051177188,398.7130000000,10273.5921177188,-12160.8027177188,9884.2887522401,-22045.0914699589,10.9314857583,0.4483668741,-10.0837919696,12581.3109056589,-0.9665767589,21.7644158055,22.1384900000,9161.7733525001,6859.7833685800,1142.0000000000,79.0000000000,78.0000000000,-12160.8027177188,-1351.2003019688,-1324.8377814798,139.9840177977,0,1299.0000000000,187.0000000000,10672.3051177188,9161.7733525001,False,False,,,,,,0,,,False,False,False,False,0,0
