stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,total_pnl,mean_block_pnl,median_block_pnl,se_mean_block_pnl,positive_blocks,agg_trades,agg_active_days,agg_costs,agg_clipped,viable,pareto,cluster_mean_block_pnl,cluster_pnl_over_dd,cluster_cvar5_loss_usd,cluster_worst_loss_usd,cluster_agg_clipped,viable_neighbor_count,neighbor_ids,viable_neighbor_ids,stable_pareto,is_current,selected_candidate,candidate_fold_anchored_count,candidate_fold_rolling_count
0.2500000000,0.2500000000,188.0000000000,72960.0000000000,1490.0000000000,187.0000000000,-1493.4117000000,12527.1626879387,697.3960000000,11829.7666879387,-14020.5743879387,5727.6094480006,-19748.1838359393,47.0469798658,0.2900322124,-15.9079192060,14045.2118899386,-0.9982458433,30.2058537472,32.9332460000,17859.3241137000,17405.6748672600,778.0000000000,698.0000000000,14.0000000000,-14020.5743879387,-1557.8415986599,-1597.1837217598,112.3479318988,0,1490.0000000000,187.0000000000,12527.1626879387,17859.3241137000,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,0.5000000000,188.0000000000,72960.0000000000,1323.0000000000,187.0000000000,-865.4017000000,11124.4564643389,620.1440000000,10504.3124643389,-11989.8581643389,10343.6635330803,-22333.5216974192,32.3507180650,0.4631452072,-12.8396601164,12064.2454163390,-0.9938340734,30.6343598507,32.9270380000,16840.9313082201,17212.6593493400,879.0000000000,415.0000000000,29.0000000000,-11989.8581643389,-1332.2064627043,-1411.4697957998,142.8658089217,0,1323.0000000000,187.0000000000,11124.4564643389,16840.9313082201,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,0.7500000000,188.0000000000,72960.0000000000,1262.0000000000,187.0000000000,-668.0417000000,10612.3175838189,592.5080000000,10019.8095838189,-11280.3592838189,12303.2685914803,-23583.6278752992,25.1188589540,0.5216868523,-11.3699051022,11372.9129958189,-0.9918619168,30.7737512425,32.9270380000,15963.6184993801,16770.1484493400,928.0000000000,288.0000000000,46.0000000000,-11280.3592838189,-1253.3732537577,-1464.3884406798,161.7049547737,0,1262.0000000000,187.0000000000,10612.3175838189,15963.6184993801,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.0000000000,188.0000000000,72960.0000000000,1215.0000000000,187.0000000000,71.1353000000,10216.6365717389,569.8420000000,9646.7945717389,-10145.5012717389,13617.4380085202,-23762.9392802591,21.4814814815,0.5730536045,-9.2700353688,10231.7904497389,-0.9915665613,30.8476923528,32.9270380000,15364.6044951001,16134.6223653400,936.0000000000,220.0000000000,59.0000000000,-10145.5012717389,-1127.2779190821,-1195.7778823999,176.7877150735,0,1215.0000000000,187.0000000000,10216.6365717389,15364.6044951001,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.2500000000,188.0000000000,72960.0000000000,1176.0000000000,187.0000000000,155.5914000000,9889.0765789989,551.9290000000,9337.1475789989,-9733.4851789989,14054.3624238202,-23787.8476028191,18.5374149660,0.5908211057,-8.1697666860,9831.2331389989,-0.9900574060,30.9006180597,32.9270380000,14891.6132366201,16021.6912333400,938.0000000000,169.0000000000,69.0000000000,-9733.4851789989,-1081.4983532221,-878.2538185599,200.7754559855,0,1176.0000000000,187.0000000000,9889.0765789989,14891.6132366201,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.5000000000,188.0000000000,72960.0000000000,1139.0000000000,187.0000000000,670.6701000000,9577.6009901390,534.1630000000,9043.4379901390,-8906.9308901390,14500.8026955602,-23407.7335856992,17.2080772608,0.6194876852,-7.0976999892,9003.6590541390,-0.9892567940,30.9562590554,32.9270380000,14382.1544696201,15799.6485333400,924.0000000000,136.0000000000,79.0000000000,-8906.9308901390,-989.6589877932,-752.0272062999,225.7808676096,0,1139.0000000000,187.0000000000,9577.6009901390,14382.1544696201,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,1.7500000000,188.0000000000,72960.0000000000,1113.0000000000,187.0000000000,1284.6764000000,9358.5966747990,521.8010000000,8836.7956747990,-8073.9202747991,15057.3263548201,-23131.2466296192,16.3522012579,0.6509517881,-6.0716352212,8173.7025847991,-0.9877922754,30.9852867886,32.9270380000,13962.2790166201,15673.3443873400,914.0000000000,113.0000000000,86.0000000000,-8073.9202747991,-897.1022527555,-823.9933863999,219.2951085211,1,1113.0000000000,187.0000000000,9358.5966747991,13962.2790166201,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.0000000000,188.0000000000,72960.0000000000,1078.0000000000,187.0000000000,1320.3464000000,9063.4895999191,504.4480000000,8559.0415999191,-7743.1431999191,14937.7031229001,-22680.8463228192,15.3988868275,0.6586043091,-5.6224847563,7881.4280099191,-0.9824543459,30.9154333511,32.9270380000,13884.0629166201,15124.5992373400,897.0000000000,93.0000000000,88.0000000000,-7743.1431999191,-860.3492444355,-662.0910923999,219.7753332448,1,1078.0000000000,187.0000000000,9063.4895999191,13884.0629166201,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.2500000000,188.0000000000,72960.0000000000,1051.0000000000,187.0000000000,825.1402000000,8835.8287722791,490.9030000000,8344.9257722791,-8010.6885722791,14331.4503139001,-22342.1388861792,14.5575642245,0.6414538190,-5.7153873970,8208.4720722790,-0.9759049555,30.9457347728,32.9270380000,14002.7077746201,14775.6469313400,886.0000000000,76.0000000000,89.0000000000,-8010.6885722791,-890.0765080310,-973.3417139999,232.3658092401,1,1051.0000000000,187.0000000000,8835.8287722791,14002.7077746201,False,False,,,,,,0,,,False,False,False,0,0
0.2500000000,2.5000000000,188.0000000000,72960.0000000000,1034.0000000000,187.0000000000,1499.8802000000,8692.7950046791,483.0560000000,8209.7390046791,-7192.9148046791,14824.5293619001,-22017.4441665792,14.4100580271,0.6733083663,-4.7866167948,7429.2008046792,-0.9681949639,30.9131047492,32.9270380000,13777.3338536201,14467.1632313400,873.0000000000,68.0000000000,93.0000000000,-7192.9148046791,-799.2127560755,-811.8487919999,227.5163831751,2,1034.0000000000,187.0000000000,8692.7950046791,13777.3338536201,False,False,,,,,,0,,,False,False,False,0,0
