trade_id,ticker,direction,entry_time,entry_price,exit_time,exit_price,shares,position_value,gross_pnl,commission,slippage,net_pnl,return_pct,exit_reason,duration_bars,entry_z_score,exit_z_score
1,NVDA,1,2024-08-23 12:48:00-04:00,126.92538,2024-08-23 13:23:00-04:00,127.78443800000001,157,19923.3,142.86999999999946,1.099,7.997893999998752,133.77310600000072,0.00671440504334125,TAKE_PROFIT,35,-2.7977023283874405,0.7293823688507624
2,NVDA,1,2024-08-26 13:03:00-04:00,126.69753444,2024-08-26 13:51:00-04:00,126.034788,157,19887.5354,-96.11540000000022,1.099,7.935791079998566,-105.15019107999879,-0.005287240925791075,TAKE_PROFIT,48,-2.3081895122811553,0.4983151809825022
3,NVDA,1,2024-08-26 15:46:00-04:00,126.29025299999999,2024-08-26 15:49:00-04:00,126.364722,158,19949.87,19.75,1.106,7.9838979999987885,10.66010200000121,0.0005343444343246954,TAKE_PROFIT,3,-1.6164113924483323,1.6333044049686218
4,NVDA,1,2024-08-30 15:52:00-04:00,119.253846,2024-08-30 15:56:00-04:00,119.156164,167,19911.41,-8.349999999999525,1.169,7.96289399999911,-17.481893999998636,-0.000877983728927215,FORCED_EOD,4,-2.7589710656700324,-2.338438457610077
5,NVDA,1,2024-09-03 10:46:00-04:00,110.52710099999999,2024-09-03 11:09:00-04:00,110.73784800000001,180,19890.899999999998,45.90000000000174,1.26,7.96553999999702,36.67446000000472,0.0018437808243973236,TAKE_PROFIT,23,-2.4075757657610186,0.5857443615430601
6,NVDA,1,2024-09-03 12:10:00-04:00,110.28205200000001,2024-09-03 12:42:00-04:00,110.337928,181,19957.06,18.09999999999897,1.2670000000000001,7.986443999999366,8.846555999999605,0.00044327952113185033,TAKE_PROFIT,32,-2.1989874182598688,0.8165659451843592
7,NVDA,1,2024-09-05 12:55:00-04:00,106.811358,2024-09-05 14:53:00-04:00,107.22855,187,19969.73,86.01999999999883,1.309,8.00509599999883,76.705904,0.003841108718044761,TAKE_PROFIT,118,-2.955848420545172,-0.1626802063239914
8,NVDA,-1,2024-09-06 14:06:00-04:00,102.23954800000001,2024-09-06 14:21:00-04:00,102.080412,195,19940.7,39.000000000000554,1.365,7.968479999997058,29.666520000003494,0.0014877371406221192,TAKE_PROFIT,15,2.617041697344891,0.4984097816193701
9,NVDA,-1,2024-09-11 12:01:00-04:00,111.162763,2024-09-11 12:44:00-04:00,112.29245399999999,179,19902.115,-194.2149999999989,1.2530000000000001,7.999689000000046,-203.46768899999893,-0.010223420425417042,TAKE_PROFIT,43,2.7427457067221543,-0.09480053668833618
10,NVDA,-1,2024-09-20 14:28:00-04:00,115.75774382,2024-09-20 14:53:00-04:00,115.918179,172,19914.3148,-19.62519999999887,1.204,7.969650959999967,-28.798850959998838,-0.0014461381799588122,TAKE_PROFIT,25,2.7606798938873247,-0.35561117704546036
11,NVDA,1,2024-09-23 10:44:00-04:00,115.393074,2024-09-23 11:33:00-04:00,115.641867,173,19959.010000000002,51.035000000000295,1.211,7.993810999999212,41.830189000001084,0.0020958048019416335,TAKE_PROFIT,49,-2.6311691139437423,0.7359120486536316
