trade_id,ticker,direction,entry_time,entry_price,exit_time,exit_price,shares,position_value,gross_pnl,commission,slippage,net_pnl,return_pct,exit_reason,duration_bars,entry_z_score,exit_z_score
1,NVDA,1,2026-06-24 11:14:00-04:00,200.93007798,2026-06-24 11:38:00-04:00,200.799832,99,19888.1001,-4.940100000000797,0.6930000000000001,7.954252019997597,-13.587352019998393,-0.000683190045890728,TAKE_PROFIT,24,2.2614277798458913,0.7327172516787466
2,NVDA,-1,2026-06-25 14:00:00-04:00,194.75104199999998,2026-06-25 14:29:00-04:00,195.744141,102,19868.579999999998,-93.33000000000209,0.714,7.966098000000898,-102.01009800000298,-0.005134242004209812,TAKE_PROFIT,29,-2.7446130680895413,0.17723422547802506
3,NVDA,1,2026-06-29 15:11:00-04:00,194.378868,2026-06-29 15:56:00-04:00,194.876017,102,19822.68,58.64999999999884,0.714,7.940802000000986,49.995197999997856,0.00252212102500761,FORCED_EOD,45,2.9007723106291423,1.283283000235439
4,NVDA,1,2026-06-30 13:44:00-04:00,198.72963797999998,2026-06-30 13:51:00-04:00,198.090374,100,19868.989999999998,-55.989999999999895,0.7000000000000001,7.936397999998235,-64.62639799999813,-0.003252626228107123,TAKE_PROFIT,7,2.691759539809804,-0.012580944988365508
5,NVDA,-1,2026-07-02 09:55:00-04:00,198.35762054,2026-07-02 09:56:00-04:00,198.729738,100,19839.73,-29.26999999999964,0.7000000000000001,7.941746000000194,-37.91174599999984,-0.0019109002995504395,TAKE_PROFIT,1,-0.8836455335921002,-0.18847177367933374
6,NVDA,1,2026-07-02 12:50:00-04:00,193.93017828,2026-07-02 12:58:00-04:00,193.181356,103,19970.8142,-69.15420000000057,0.721,7.974494840000773,-77.84969484000135,-0.003898173307325715,TAKE_PROFIT,8,2.0153373473420633,-0.2390173438010831
7,NVDA,-1,2026-07-07 15:42:00-04:00,195.58087600000002,2026-07-07 15:56:00-04:00,196.619316,102,19953.24,-97.92000000000081,0.714,8.000879999997153,-106.63487999999796,-0.005344238830385339,FORCED_EOD,14,-2.920794655616295,0.5605047801622319
8,NVDA,1,2026-07-09 13:09:00-04:00,203.0015922,2026-07-09 14:12:00-04:00,203.049382,98,19890.178,12.641999999999086,0.686,7.958599599998706,3.99740040000038,0.00020097358605842443,TAKE_PROFIT,63,2.7139844747741595,-0.15822882647289124
9,NVDA,-1,2026-07-13 12:07:00-04:00,205.838824,2026-07-13 14:06:00-04:00,204.420876,97,19970.36,145.5,0.679,7.959044000000432,136.86195599999957,0.006853254322906526,TAKE_PROFIT,119,-2.8880603797848163,0.33621703064265057
10,NVDA,-1,2026-07-14 15:31:00-04:00,211.17275700000002,2026-07-14 15:43:00-04:00,211.88236799999999,94,19854.21,-58.75,0.658,7.953433999996889,-67.36143399999689,-0.003392803541414989,TAKE_PROFIT,12,-2.7714792005264037,-0.0724709495016869
