beta_mode,beta_days,window,z_entry,hook_delta,hook_timeout,exit_band,z_lockout,direction,trades,net_pnl,gross_pnl,costs,net_return_pct,gross_return_pct,net_sharpe,gross_sharpe,net_sortino,max_drawdown_pct,win_rate_pct,profit_factor,gross_profit_factor,avg_net_trade,median_net_trade,avg_duration,long_net_pnl,short_net_pnl
dynamic_rolling,5,60,3.0,0.05,5,0.0,4.5,both,326,3829.740536500292,6771.327700000011,2941.587163499719,3.8297405365002914,6.771327700000011,2.106809043492751,3.718744156163203,3.697098838679055,1.3334927631399478,58.58895705521472,1.4054870040443757,1.815650944501814,11.747670357362859,11.274070000001892,34.11963190184049,3467.4684886201667,362.27204788012585
dynamic_rolling,5,60,3.0,0.05,10,0.0,4.5,both,326,3829.740536500292,6771.327700000011,2941.587163499719,3.8297405365002914,6.771327700000011,2.106809043492751,3.718744156163203,3.697098838679055,1.3334927631399478,58.58895705521472,1.4054870040443757,1.815650944501814,11.747670357362859,11.274070000001892,34.11963190184049,3467.4684886201667,362.27204788012585
dynamic_rolling,5,60,3.0,0.05,20,0.0,4.5,both,326,3829.740536500292,6771.327700000011,2941.587163499719,3.8297405365002914,6.771327700000011,2.106809043492751,3.718744156163203,3.697098838679055,1.3334927631399478,58.58895705521472,1.4054870040443757,1.815650944501814,11.747670357362859,11.274070000001892,34.11963190184049,3467.4684886201667,362.27204788012585
dynamic_rolling,5,60,3.0,0.05,5,0.0,,both,338,3900.4079528402976,6949.940200000015,3049.532247159717,3.9004079528402977,6.949940200000014,2.082536921604435,3.703645332452824,3.668965813757674,1.3334927631399478,57.692307692307686,1.393779444519429,1.7993423897343417,11.539668499527508,10.870988499999115,33.94970414201183,3259.5381632001668,640.8697896401309
dynamic_rolling,5,60,3.0,0.05,10,0.0,,both,338,3900.4079528402976,6949.940200000015,3049.532247159717,3.9004079528402977,6.949940200000014,2.082536921604435,3.703645332452824,3.668965813757674,1.3334927631399478,57.692307692307686,1.393779444519429,1.7993423897343417,11.539668499527508,10.870988499999115,33.94970414201183,3259.5381632001668,640.8697896401309
dynamic_rolling,5,60,3.0,0.05,20,0.0,,both,338,3900.4079528402976,6949.940200000015,3049.532247159717,3.9004079528402977,6.949940200000014,2.082536921604435,3.703645332452824,3.668965813757674,1.3334927631399478,57.692307692307686,1.393779444519429,1.7993423897343417,11.539668499527508,10.870988499999115,33.94970414201183,3259.5381632001668,640.8697896401309
dynamic_rolling,5,60,3.0,0.15,5,0.0,4.5,both,326,3761.420928560312,6702.976400000023,2941.5554714397113,3.761420928560312,6.702976400000023,2.0488836200127962,3.648423033576148,3.5337113217780884,1.3339487718399614,59.20245398773007,1.3975299452623604,1.8044679850738827,11.538101007853717,11.646109999999382,33.969325153374236,3443.6290036201826,317.7919249401293
dynamic_rolling,5,60,3.0,0.15,10,0.0,4.5,both,326,3761.420928560312,6702.976400000023,2941.5554714397113,3.761420928560312,6.702976400000023,2.0488836200127962,3.648423033576148,3.5337113217780884,1.3339487718399614,59.20245398773007,1.3975299452623604,1.8044679850738827,11.538101007853717,11.646109999999382,33.969325153374236,3443.6290036201826,317.7919249401293
dynamic_rolling,5,60,3.0,0.0,0,0.0,4.5,both,334,4023.319000640356,7036.626200000037,3013.307199359681,4.023319000640356,7.036626200000037,2.0313013631201944,3.552296124393474,3.3907429869716577,1.2808834369999822,58.68263473053892,1.3991627807629066,1.7885341514442794,12.045865271378311,15.745447399999126,35.08083832335329,4120.710923440184,-97.3919227998276
dynamic_rolling,5,60,3.0,0.15,5,0.0,,both,338,3832.0883449003186,6881.588900000028,3049.5005550997093,3.8320883449003187,6.881588900000028,2.0271670888821887,3.6365230762681096,3.5131237196090694,1.3659026167399715,58.28402366863905,1.3862117730852783,1.7887198145359353,11.337539481953606,11.145497499999596,33.80473372781065,3235.6986782001845,596.3896667001347
