beta_mode,beta_days,window,z_entry,hook_delta,hook_timeout,exit_band,z_lockout,direction,trades,net_pnl,gross_pnl,costs,net_return_pct,gross_return_pct,net_sharpe,gross_sharpe,net_sortino,max_drawdown_pct,win_rate_pct,profit_factor,gross_profit_factor,avg_net_trade,median_net_trade,avg_duration,long_net_pnl,short_net_pnl
dynamic_rolling,5,60,3.0,0.05,5,0.0,,both,338,3900.4079528402976,6949.940200000015,3049.532247159717,3.9004079528402977,6.949940200000014,2.082536921604435,3.703645332452824,3.668965813757674,1.3334927631399478,57.692307692307686,1.393779444519429,1.7993423897343417,11.539668499527508,10.870988499999115,33.94970414201183,3259.5381632001668,640.8697896401309
dynamic_rolling,5,60,3.0,0.05,10,0.0,,both,338,3900.4079528402976,6949.940200000015,3049.532247159717,3.9004079528402977,6.949940200000014,2.082536921604435,3.703645332452824,3.668965813757674,1.3334927631399478,57.692307692307686,1.393779444519429,1.7993423897343417,11.539668499527508,10.870988499999115,33.94970414201183,3259.5381632001668,640.8697896401309
dynamic_rolling,5,60,3.0,0.05,20,0.0,,both,338,3900.4079528402976,6949.940200000015,3049.532247159717,3.9004079528402977,6.949940200000014,2.082536921604435,3.703645332452824,3.668965813757674,1.3334927631399478,57.692307692307686,1.393779444519429,1.7993423897343417,11.539668499527508,10.870988499999115,33.94970414201183,3259.5381632001668,640.8697896401309
dynamic_rolling,5,60,3.0,0.0,0,0.0,4.0,both,311,3969.81412236035,6775.811800000042,2805.997677639692,3.9698141223603503,6.775811800000042,2.015173724267025,3.435163169656282,3.3940252518187486,1.2025463657399813,59.163987138263664,1.4137142960086282,1.794313211228127,12.764675634599197,16.5968459999985,35.40192926045016,4231.5356787001865,-261.7215563398339
dynamic_rolling,5,60,3.0,0.0,0,0.0,,both,342,4082.1167927203714,7167.735800000042,3085.6190072796708,4.082116792720371,7.167735800000043,1.9815597493292734,3.4821200216822876,3.323773974237707,1.2808834369999822,57.89473684210527,1.3878298195413923,1.7685842352780592,11.936014013802255,14.806022320003152,34.941520467836256,3962.5297460201878,119.58704670018295
dynamic_rolling,5,60,3.0,0.15,5,0.0,4.0,both,294,3486.7996837803103,6139.421700000032,2652.6220162197214,3.48679968378031,6.139421700000032,1.8807252160085868,3.2972906624575984,3.229802344513965,1.2701792864799646,58.843537414965986,1.3953800710804396,1.7883698813362081,11.859862870001056,11.274070000001892,34.673469387755105,3241.852938660182,244.94674512012722
dynamic_rolling,5,60,3.0,0.15,10,0.0,4.0,both,294,3486.7996837803103,6139.421700000032,2652.6220162197214,3.48679968378031,6.139421700000032,1.8807252160085868,3.2972906624575984,3.229802344513965,1.2701792864799646,58.843537414965986,1.3953800710804396,1.7883698813362081,11.859862870001056,11.274070000001892,34.673469387755105,3241.852938660182,244.94674512012722
dynamic_rolling,5,60,3.0,0.05,5,0.0,4.0,both,295,3448.8355625602935,6110.49880000002,2661.663237439727,3.4488355625602938,6.11049880000002,1.8716848780803128,3.298824442794334,3.2649346144770766,1.2697232777799508,57.96610169491525,1.387441382651275,1.7786113576795661,11.690968008678961,11.08187499999702,34.91525423728814,3255.6104076601678,193.22515490012444
dynamic_rolling,5,60,3.0,0.05,10,0.0,4.0,both,295,3448.8355625602935,6110.49880000002,2661.663237439727,3.4488355625602938,6.11049880000002,1.8716848780803128,3.298824442794334,3.2649346144770766,1.2697232777799508,57.96610169491525,1.387441382651275,1.7786113576795661,11.690968008678961,11.08187499999702,34.91525423728814,3255.6104076601678,193.22515490012444
dynamic_rolling,5,60,3.0,0.05,20,0.0,4.0,both,295,3448.8355625602935,6110.49880000002,2661.663237439727,3.4488355625602938,6.11049880000002,1.8716848780803128,3.298824442794334,3.2649346144770766,1.2697232777799508,57.96610169491525,1.387441382651275,1.7786113576795661,11.690968008678961,11.08187499999702,34.91525423728814,3255.6104076601678,193.22515490012444
