stop_usd,target_usd,sessions,raw_bars,trades,active_days,gross_pnl,costs,commissions,slippage,net_pnl,positive_mass,loss_mass,win_rate_pct,profit_factor,net_sharpe,mtm_dd_usd,pnl_over_dd,cvar5_loss_usd,worst_loss_usd,clipped_current_winner_net_usd,avoided_current_loser_net_usd,stops,targets,forced_eod,total_pnl,mean_block_pnl,median_block_pnl,se_mean_block_pnl,positive_blocks,agg_trades,agg_active_days,agg_costs,agg_clipped,viable,pareto,cluster_mean_block_pnl,cluster_pnl_over_dd,cluster_cvar5_loss_usd,cluster_worst_loss_usd,cluster_agg_clipped,viable_neighbor_count,neighbor_ids,viable_neighbor_ids,stable_pareto,one_se,is_current,selected_candidate,candidate_fold_anchored_count,candidate_fold_rolling_count
0.2500000000,0.2500000000,188.0000000000,72959.0000000000,2106.0000000000,188.0000000000,-2987.1292000000,17001.8565861182,439.8940000000,16561.9625861182,-19988.9857861181,34.3503174001,-20023.3361035181,5.9829059829,0.0017155142,-28.9829959485,19988.9857861188,-1.0000000000,16.7676965887,17.7687240000,16919.0685487202,14423.0743713000,1254.0000000000,849.0000000000,3.0000000000,-19988.9857861182,-2220.9984206798,-2210.4186009198,93.8879000490,0,2106.0000000000,188.0000000000,17001.8565861182,16919.0685487202,False,False,,,,,,0,,,False,False,False,False,1,0
0.2500000000,0.5000000000,188.0000000000,72959.0000000000,1920.0000000000,188.0000000000,-1015.1942000000,15498.6728798383,400.7360000000,15097.9368798383,-16513.8670798382,4036.1292688405,-20549.9963486787,30.7291666667,0.1964053521,-23.8366924682,16519.4258224786,-0.9996635027,16.8108302942,17.7687240000,16358.6815350602,14437.1171793000,1319.0000000000,589.0000000000,12.0000000000,-16513.8670798383,-1834.8741199820,-1932.1843983598,84.5532352179,0,1920.0000000000,188.0000000000,15498.6728798383,16358.6815350602,False,False,,,,,,0,,,False,False,False,False,1,0
0.2500000000,0.7500000000,188.0000000000,72959.0000000000,1836.0000000000,188.0000000000,-184.1510000000,14821.5045074384,383.1030000000,14438.4015074384,-15005.6555074383,6394.3769473204,-21400.0324547587,24.4553376906,0.2988022079,-20.3649620140,15034.2096500788,-0.9981007221,16.8577515026,17.7687240000,15931.9903473002,14362.3554293000,1372.0000000000,444.0000000000,20.0000000000,-15005.6555074384,-1667.2950563820,-1722.8318883598,90.8525298705,0,1836.0000000000,188.0000000000,14821.5045074384,15931.9903473002,False,False,,,,,,0,,,False,False,False,False,1,0
0.2500000000,1.0000000000,188.0000000000,72959.0000000000,1788.0000000000,188.0000000000,-205.0960000000,14432.6338654385,373.0370000000,14059.5968654385,-14637.7298654384,7528.3563077603,-22166.0861731987,19.6308724832,0.3396339908,-18.7022039017,14664.5098720790,-0.9981738219,16.8839658249,17.7687240000,15721.9225763002,14169.6240793000,1421.0000000000,341.0000000000,26.0000000000,-14637.7298654385,-1626.4144294932,-1699.9350109998,86.3828095068,0,1788.0000000000,188.0000000000,14432.6338654385,15721.9225763002,False,False,,,,,,0,,,False,False,False,False,1,0
0.2500000000,1.2500000000,188.0000000000,72959.0000000000,1747.0000000000,188.0000000000,184.2640000000,14103.1696944785,364.6160000000,13738.5536944785,-13918.9056944784,8449.3857969203,-22368.2914913987,17.0005724098,0.3777394353,-16.7033207719,13975.9864461593,-0.9959157980,16.8917528891,17.7687240000,15503.7613137202,13984.8967293000,1434.0000000000,284.0000000000,29.0000000000,-13918.9056944785,-1546.5450771643,-1584.6279080798,81.1342891297,0,1747.0000000000,188.0000000000,14103.1696944785,15503.7613137202,False,False,,,,,,0,,,False,False,False,False,1,0
0.2500000000,1.5000000000,188.0000000000,72959.0000000000,1732.0000000000,188.0000000000,380.6940000000,13981.9069416786,361.4030000000,13620.5039416786,-13601.2129416784,9106.8310905202,-22708.0440321986,15.0115473441,0.4010398728,-15.5341194314,13692.5394433592,-0.9933301998,16.8940272441,17.7687240000,15370.7258817202,13951.1661793000,1456.0000000000,241.0000000000,35.0000000000,-13601.2129416786,-1511.2458824087,-1487.1310080799,92.2433372796,0,1732.0000000000,188.0000000000,13981.9069416786,15370.7258817202,False,False,,,,,,0,,,False,False,False,False,1,0
0.2500000000,1.7500000000,188.0000000000,72959.0000000000,1721.0000000000,188.0000000000,31.5267000000,13893.2236997385,359.1140000000,13534.1096997385,-13861.6969997384,9215.6812743802,-23077.3782741186,13.0737943056,0.3993383115,-15.5128106447,13987.2692514190,-0.9910223898,16.8971910777,17.7687240000,15171.5772217202,13888.4414293000,1480.0000000000,201.0000000000,40.0000000000,-13861.6969997385,-1540.1885555265,-1562.8033105198,75.5296487822,0,1721.0000000000,188.0000000000,13893.2236997385,15171.5772217202,False,False,,,,,,0,,,False,False,False,False,1,0
0.2500000000,2.0000000000,188.0000000000,72959.0000000000,1710.0000000000,188.0000000000,423.2933000000,13803.6939138185,356.6850000000,13447.0089138185,-13380.4006138184,9798.8316859402,-23179.2322997586,12.1052631579,0.4227418561,-14.3992040272,13481.3593261792,-0.9925112364,16.8984417181,17.7687240000,15040.8955723602,13848.4306293000,1487.0000000000,182.0000000000,41.0000000000,-13380.4006138185,-1486.7111793132,-1419.5574605198,100.4345191102,0,1710.0000000000,188.0000000000,13803.6939138185,15040.8955723602,False,False,,,,,,0,,,False,False,False,False,1,0
0.2500000000,2.2500000000,188.0000000000,72959.0000000000,1695.0000000000,188.0000000000,537.5945000000,13681.7822275786,353.5490000000,13328.2332275786,-13144.1877275784,10052.3305829402,-23196.5183105186,11.2094395280,0.4333551462,-13.8686345723,13229.7150288990,-0.9935352121,16.9137755294,17.7687240000,14787.3715723602,13654.2488630600,1488.0000000000,162.0000000000,45.0000000000,-13144.1877275786,-1460.4653030643,-1359.5854999999,111.6754197867,0,1695.0000000000,188.0000000000,13681.7822275786,14787.3715723602,False,False,,,,,,0,,,False,False,False,False,1,0
0.2500000000,2.5000000000,188.0000000000,72959.0000000000,1686.0000000000,188.0000000000,-325.5865000000,13609.4238813786,351.6240000000,13257.7998813786,-13935.0103813784,9511.2182871401,-23446.2286685185,9.7864768683,0.4056609027,-14.7059455797,14042.4572946991,-0.9923484251,16.9303000471,17.7687240000,14820.5716483602,13608.4213770600,1504.0000000000,134.0000000000,48.0000000000,-13935.0103813786,-1548.3344868198,-1514.1667275198,99.6126444175,0,1686.0000000000,188.0000000000,13609.4238813785,14820.5716483602,False,False,,,,,,0,,,False,False,False,False,1,0
