symbol,reference,stop_usd,target_usd,reward_to_risk,robust_score,development_net_pnl,validation_net_pnl,holdout_net_pnl,holdout_trades,holdout_net_sharpe,full_net_pnl,full_trades,full_win_rate_pct,full_profit_factor,full_net_sharpe,full_max_drawdown_usd_mtm,full_max_drawdown_pct_mtm,full_commissions,full_slippage,full_costs,audit_status
NVDA,QQQ,5.2500000000,1.2500000000,0.2380952381,1.1562947175,2018.7859610202,2473.5622169001,2199.5402666401,128,2.6664784836,6691.8884445604,456,65.3508771930,1.2763902991,1.9373091368,1929.8266248400,1.8095380375,329.6650000000,3630.6031554396,3960.2681554396,PASS
MSFT,QQQ,11.7500000000,9.0000000000,0.7659574468,-0.6782289258,2386.4767258601,-398.6119414799,-1664.1076873199,63,-2.3858099049,323.7570970603,254,50.3937007874,1.0237737459,0.1531127453,3147.5044259599,3.0533178451,79.6950000000,2010.0730029397,2089.7680029397,PASS
AAPL,QQQ,3.0000000000,7.5000000000,2.5000000000,-1.5164400463,-549.9625542199,-973.0405399999,-1898.5457259399,80,-3.4408635182,-3421.5488201598,287,45.6445993031,0.8099530181,-1.4111764193,4082.4511531599,4.0798388998,146.0060000000,2281.0288201598,2427.0348201598,PASS
AMZN,QQQ,2.0000000000,1.2500000000,0.6250000000,-1.0219634427,1076.5289064202,-528.3105607399,-102.0566026599,156,-0.1404913604,446.1617430204,535,57.7570093458,1.0183858805,0.2074757442,2296.1391043599,2.2867512063,316.1410000000,4253.4897569796,4569.6307569796,PASS
GOOGL,QQQ,1.2500000000,3.2500000000,2.6000000000,-1.0825628276,-1362.4302906798,15.0199674201,-3080.4220782799,183,-4.7268027851,-4427.8324015395,598,36.9565217391,0.8487563972,-1.7167637881,5229.1139036995,5.2092423295,266.1330000000,4746.4085015395,5012.5415015395,PASS
