timestamp,equity,running_peak,drawdown_usd,drawdown_pct
2025-08-22 09:30:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:31:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:32:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:33:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:34:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:35:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:36:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:37:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:38:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:39:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:40:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:41:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:42:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:43:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:44:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:45:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:46:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:47:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:48:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:49:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:50:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:51:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:52:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:53:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:54:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:55:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:56:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:57:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:58:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 09:59:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 10:00:00-04:00,100000.0000000000,100000.0000000000,0.0000000000,0.0000000000
2025-08-22 10:01:00-04:00,99985.2933460000,100000.0000000000,14.7066540000,0.0147066540
2025-08-22 10:02:00-04:00,99996.6033460000,100000.0000000000,3.3966540000,0.0033966540
2025-08-22 10:03:00-04:00,99986.5983460000,100000.0000000000,13.4016540000,0.0134016540
2025-08-22 10:04:00-04:00,100056.6333460000,100056.6333460000,0.0000000000,0.0000000000
2025-08-22 10:05:00-04:00,100027.9233460000,100056.6333460000,28.7100000000,0.0286937498
2025-08-22 10:06:00-04:00,100015.7433460000,100056.6333460000,40.8900000000,0.0408668557
2025-08-22 10:07:00-04:00,100031.4033460000,100056.6333460000,25.2300000000,0.0252157195
2025-08-22 10:08:00-04:00,100005.3033460000,100056.6333460000,51.3300000000,0.0513009466
2025-08-22 10:09:00-04:00,100000.9185460000,100056.6333460000,55.7148000000,0.0556832647
2025-08-22 10:10:00-04:00,99999.6483460000,100056.6333460000,56.9850000000,0.0569527458
2025-08-22 10:11:00-04:00,100016.6133460000,100056.6333460000,40.0200000000,0.0399973482
2025-08-22 10:12:00-04:00,100030.0983460000,100056.6333460000,26.5350000000,0.0265199808
2025-08-22 10:13:00-04:00,100017.9183460000,100056.6333460000,38.7150000000,0.0386930868
2025-08-22 10:14:00-04:00,100004.4420460000,100056.6333460000,52.1913000000,0.0521617591
2025-08-22 10:15:00-04:00,99961.8033460000,100056.6333460000,94.8300000000,0.0947763250
2025-08-22 10:16:00-04:00,99958.3233460000,100056.6333460000,98.3100000000,0.0982543553
2025-08-22 10:17:00-04:00,99990.5133460000,100056.6333460000,66.1200000000,0.0660825752
2025-08-22 10:18:00-04:00,100017.4833460000,100056.6333460000,39.1500000000,0.0391278406
2025-08-22 10:19:00-04:00,100014.8733460000,100056.6333460000,41.7600000000,0.0417363633
2025-08-22 10:20:00-04:00,100006.1733460000,100056.6333460000,50.4600000000,0.0504314390
2025-08-22 10:21:00-04:00,100008.3483460000,100056.6333460000,48.2850000000,0.0482576701
2025-08-22 10:22:00-04:00,99991.1049460000,100056.6333460000,65.5284000000,0.0654913101
2025-08-22 10:23:00-04:00,100006.2603460000,100056.6333460000,50.3730000000,0.0503444882
2025-08-22 10:24:00-04:00,99993.5583460000,100056.6333460000,63.0750000000,0.0630392987
2025-08-22 10:25:00-04:00,99968.7633460000,100056.6333460000,87.8700000000,0.0878202644
2025-08-22 10:26:00-04:00,99968.7633460000,100056.6333460000,87.8700000000,0.0878202644
2025-08-22 10:27:00-04:00,99990.5133460000,100056.6333460000,66.1200000000,0.0660825752
2025-08-22 10:28:00-04:00,99987.9033460000,100056.6333460000,68.7300000000,0.0686910979
2025-08-22 10:29:00-04:00,99973.9833460000,100056.6333460000,82.6500000000,0.0826032190
2025-08-22 10:30:00-04:00,99971.3733460000,100056.6333460000,85.2600000000,0.0852117417
2025-08-22 10:31:00-04:00,99933.5283460000,100056.6333460000,123.1050000000,0.1230353210
2025-08-22 10:32:00-04:00,99920.0433460000,100056.6333460000,136.5900000000,0.1365126883
2025-08-22 10:33:00-04:00,99935.7033460000,100056.6333460000,120.9300000000,0.1208615521
2025-08-22 10:34:00-04:00,99917.7378460000,100056.6333460000,138.8955000000,0.1388168834
2025-08-22 10:35:00-04:00,99927.8733460000,100056.6333460000,128.7600000000,0.1286871202
2025-08-22 10:36:00-04:00,99951.7983460000,100056.6333460000,104.8350000000,0.1047756620
2025-08-22 10:37:00-04:00,99943.5333460000,100056.6333460000,113.1000000000,0.1130359839
2025-08-22 10:38:00-04:00,99955.7133460000,100056.6333460000,100.9200000000,0.1008628780
2025-08-22 10:39:00-04:00,99968.7633460000,100056.6333460000,87.8700000000,0.0878202644
2025-08-22 10:40:00-04:00,99957.0183460000,100056.6333460000,99.6150000000,0.0995586166
2025-08-22 10:41:00-04:00,99955.2087460000,100056.6333460000,101.4246000000,0.1013671924
2025-08-22 10:42:00-04:00,99972.2433460000,100056.6333460000,84.3900000000,0.0843422342
2025-08-22 10:43:00-04:00,99972.2433460000,100056.6333460000,84.3900000000,0.0843422342
2025-08-22 10:44:00-04:00,99962.6733460000,100056.6333460000,93.9600000000,0.0939068174
2025-08-22 10:45:00-04:00,99942.6633460000,100056.6333460000,113.9700000000,0.1139054915
2025-08-22 10:46:00-04:00,99927.8733460000,100056.6333460000,128.7600000000,0.1286871202
2025-08-22 10:47:00-04:00,99932.2233460000,100056.6333460000,124.4100000000,0.1243395823
2025-08-22 10:48:00-04:00,99927.0033460000,100056.6333460000,129.6300000000,0.1295566277
2025-08-22 10:49:00-04:00,99926.5683460000,100056.6333460000,130.0650000000,0.1299913815
2025-08-22 10:50:00-04:00,99922.6533460000,100056.6333460000,133.9800000000,0.1339041656
2025-08-22 10:51:00-04:00,99958.3233460000,100056.6333460000,98.3100000000,0.0982543553
2025-08-22 10:52:00-04:00,99960.4983460000,100056.6333460000,96.1350000000,0.0960805863
2025-08-22 10:53:00-04:00,99957.4533460000,100056.6333460000,99.1800000000,0.0991238628
2025-08-22 10:54:00-04:00,99938.7483460000,100056.6333460000,117.8850000000,0.1178182756
2025-08-22 10:55:00-04:00,99930.0483460000,100056.6333460000,126.5850000000,0.1265133513
2025-08-22 10:56:00-04:00,99926.9598460000,100056.6333460000,129.6735000000,0.1296001031
2025-08-22 10:57:00-04:00,99932.6583460000,100056.6333460000,123.9750000000,0.1239048285
2025-08-22 10:58:00-04:00,99937.4433460000,100056.6333460000,119.1900000000,0.1191225369
2025-08-22 10:59:00-04:00,99950.9283460000,100056.6333460000,105.7050000000,0.1056451696
2025-08-22 11:00:00-04:00,99964.6743460000,100056.6333460000,91.9590000000,0.0919069500
2025-08-22 11:01:00-04:00,99938.3133460000,100056.6333460000,118.3200000000,0.1182530294
2025-08-22 11:02:00-04:00,99933.0933460000,100056.6333460000,123.5400000000,0.1234700748
2025-08-22 11:03:00-04:00,99922.6533460000,100056.6333460000,133.9800000000,0.1339041656
2025-08-22 11:04:00-04:00,99916.9983460000,100056.6333460000,139.6350000000,0.1395559648
2025-08-22 11:05:00-04:00,99926.1333460000,100056.6333460000,130.5000000000,0.1304261353
2025-08-22 11:06:00-04:00,99937.4433460000,100056.6333460000,119.1900000000,0.1191225369
2025-08-22 11:07:00-04:00,99936.5733460000,100056.6333460000,120.0600000000,0.1199920445
2025-08-22 11:08:00-04:00,99936.5733460000,100056.6333460000,120.0600000000,0.1199920445
2025-08-22 11:09:00-04:00,99918.7383460000,100056.6333460000,137.8950000000,0.1378169497
2025-08-22 11:10:00-04:00,99912.2133460000,100056.6333460000,144.4200000000,0.1443382564
2025-08-22 11:11:00-04:00,99914.1273460000,100056.6333460000,142.5060000000,0.1424253398
2025-08-22 11:12:00-04:00,99921.2700460000,100056.6333460000,135.3633000000,0.1352866826
2025-08-22 11:13:00-04:00,99921.7833460000,100056.6333460000,134.8500000000,0.1347736732
2025-08-22 11:14:00-04:00,99930.4833460000,100056.6333460000,126.1500000000,0.1260785975
2025-08-22 11:15:00-04:00,99935.7033460000,100056.6333460000,120.9300000000,0.1208615521
2025-08-22 11:16:00-04:00,99930.5181460000,100056.6333460000,126.1152000000,0.1260438172
2025-08-22 11:17:00-04:00,99936.5733460000,100056.6333460000,120.0600000000,0.1199920445
2025-08-22 11:18:00-04:00,99942.2283460000,100056.6333460000,114.4050000000,0.1143402453
2025-08-22 11:19:00-04:00,99949.7886460000,100056.6333460000,106.8447000000,0.1067842245
2025-08-22 11:20:00-04:00,99947.0133460000,100056.6333460000,109.6200000000,0.1095579537
2025-08-22 11:21:00-04:00,99951.3633460000,100056.6333460000,105.2700000000,0.1052104158
2025-08-22 11:22:00-04:00,99947.8833460000,100056.6333460000,108.7500000000,0.1086884461
2025-08-22 11:23:00-04:00,99944.4120460000,100056.6333460000,112.2213000000,0.1121577813
2025-08-22 11:24:00-04:00,99952.2333460000,100056.6333460000,104.4000000000,0.1043409083
2025-08-22 11:25:00-04:00,99946.1433460000,100056.6333460000,110.4900000000,0.1104274612
2025-08-22 11:26:00-04:00,99943.5333460000,100056.6333460000,113.1000000000,0.1130359839
2025-08-22 11:27:00-04:00,99958.7583460000,100056.6333460000,97.8750000000,0.0978196015
2025-08-22 11:28:00-04:00,99958.3233460000,100056.6333460000,98.3100000000,0.0982543553
2025-08-22 11:29:00-04:00,99965.2833460000,100056.6333460000,91.3500000000,0.0912982947
2025-08-22 11:30:00-04:00,99953.1033460000,100056.6333460000,103.5300000000,0.1034714007
2025-08-22 11:31:00-04:00,99955.7133460000,100056.6333460000,100.9200000000,0.1008628780
2025-08-22 11:32:00-04:00,99937.0083460000,100056.6333460000,119.6250000000,0.1195572907
2025-08-22 11:33:00-04:00,99940.9233460000,100056.6333460000,115.7100000000,0.1156445066
2025-08-22 11:34:00-04:00,99939.1833460000,100056.6333460000,117.4500000000,0.1173835218
2025-08-22 11:35:00-04:00,99942.7851460000,100056.6333460000,113.8482000000,0.1137837604
2025-08-22 11:36:00-04:00,99942.9417460000,100056.6333460000,113.6916000000,0.1136272491
2025-08-22 11:37:00-04:00,99960.0633460000,100056.6333460000,96.5700000000,0.0965153401
2025-08-22 11:38:00-04:00,99969.6333460000,100056.6333460000,87.0000000000,0.0869507569
2025-08-22 11:39:00-04:00,99965.2833460000,100056.6333460000,91.3500000000,0.0912982947
2025-08-22 11:40:00-04:00,99967.6236460000,100056.6333460000,89.0097000000,0.0889593194
2025-08-22 11:41:00-04:00,99982.6833460000,100056.6333460000,73.9500000000,0.0739081433
2025-08-22 11:42:00-04:00,99984.4233460000,100056.6333460000,72.2100000000,0.0721691282
2025-08-22 11:43:00-04:00,99982.2483460000,100056.6333460000,74.3850000000,0.0743428971
2025-08-22 11:44:00-04:00,99974.8533460000,100056.6333460000,81.7800000000,0.0817337115
2025-08-22 11:45:00-04:00,99953.9733460000,100056.6333460000,102.6600000000,0.1026018931
2025-08-22 11:46:00-04:00,99967.3539460000,100056.6333460000,89.2794000000,0.0892288667
2025-08-22 11:47:00-04:00,99971.3733460000,100056.6333460000,85.2600000000,0.0852117417
2025-08-22 11:48:00-04:00,99984.4233460000,100056.6333460000,72.2100000000,0.0721691282
2025-08-22 11:49:00-04:00,99994.9938460000,100056.6333460000,61.6395000000,0.0616046112
2025-08-22 11:50:00-04:00,100014.8733460000,100056.6333460000,41.7600000000,0.0417363633
2025-08-22 11:51:00-04:00,100014.8733460000,100056.6333460000,41.7600000000,0.0417363633
2025-08-22 11:52:00-04:00,100019.2146460000,100056.6333460000,37.4187000000,0.0373975205
2025-08-22 11:53:00-04:00,100001.2491460000,100056.6333460000,55.3842000000,0.0553528518
